"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","2.0","3.0","6.0","0.16666666666666666","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","9.0","9.0","0.08333333333333333","0.75"
"2","2.0","3.0","6.0","0.16666666666666666","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","9.0","9.0","0.08333333333333333","0.75"
"3","2.0","3.0","6.0","0.16666666666666666","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","9.0","9.0","0.08333333333333333","0.75"
"4","2.0","3.0","6.0","0.16666666666666666","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","9.0","9.0","0.08333333333333333","0.75"
"5","2.0","3.0","6.0","0.16666666666666666","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","9.0","9.0","0.08333333333333333","0.75"
"6","2.0","3.0","6.0","0.16666666666666666","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","9.0","9.0","0.08333333333333333","0.75"
"7","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"8","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"9","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"10","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"11","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"12","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"13","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"14","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"15","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"16","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"17","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"18","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"19","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"20","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"21","1.0","3.0","3.0","0.08333333333333333","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","0.0","0.0","0.5","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
