"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS"
"1","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"2","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"3","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"4","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"5","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"6","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"7","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","6.0","24.0","0.4444444444444444","0.6666666666666666"
"8","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556"
"9","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556"
"10","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556"
