"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1696970","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02401372","8.0","0","9.0","0","1.0","0","18.0","0.01312090","2.0","0","5.0","0"
"11","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1666667","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02298851","8.0","0","9.0","0","1.0","0","18.0","0.01257862","2.0","0","5.0","0"
"12","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1628959","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02197802","8.0","0","9.0","0","1.0","0","18.0","0.01204013","2.0","0","5.0","0"
"13","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1587302","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02100840","8.0","0","9.0","0","1.0","0","18.0","0.01152074","2.0","0","5.0","0"
"14","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1543860","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02009132","8.0","0","9.0","0","1.0","0","18.0","0.01102757","2.0","0","5.0","0"
"15","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.15","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01923077","8.0","0","9.0","0","1.0","0","18.0","0.01056338","2.0","0","5.0","0"
"16","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1456583","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01842665","8.0","0","9.0","0","1.0","0","18.0","0.01012855","2.0","0","5.0","0"
"17","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1414141","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01767677","8.0","0","9.0","0","1.0","0","18.0","0.009722222","2.0","0","5.0","0"
"18","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1372998","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01697793","8.0","0","9.0","0","1.0","0","18.0","0.009342884","2.0","0","5.0","0"
"19","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1333333","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01632653","8.0","0","9.0","0","1.0","0","18.0","0.008988764","2.0","0","5.0","0"
"20","0.2404372","0.6229508","0.14523809523809525","2.9047619047619047","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1295238","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01571891","8.0","0","9.0","0","1.0","0","18.0","0.008658009","2.0","0","5.0","0"
