"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA21-ADS","BA21-AIS","BA21-ACS","BA21-RCS","BA21-RIS","BA23-ADS","BA23-AIS","BA23-ACS","BA23-RCS","BA23-RIS","BA24-ADS","BA24-AIS","BA24-ACS","BA24-RCS","BA24-RIS","BA25-ADS","BA25-AIS","BA25-ACS","BA25-RCS","BA25-RIS","BA26-ADS","BA26-AIS","BA26-ACS","BA26-RCS","BA26-RIS","BA27-ADS","BA27-AIS","BA27-ACS","BA27-RCS","BA27-RIS","BA28-ADS","BA28-AIS","BA28-ACS","BA28-RCS","BA28-RIS","BA29-ADS","BA29-AIS","BA29-ACS","BA29-RCS","BA29-RIS","BA30-ADS","BA30-AIS","BA30-ACS","BA30-RCS","BA30-RIS","BA31-ADS","BA31-AIS","BA31-ACS","BA31-RCS","BA31-RIS","BA32-ADS","BA32-AIS","BA32-ACS","BA32-RCS","BA32-RIS","BA33-ADS","BA33-AIS","BA33-ACS","BA33-RCS","BA33-RIS","BA34-ADS","BA34-AIS","BA34-ACS","BA34-RCS","BA34-RIS","BA35-ADS","BA35-AIS","BA35-ACS","BA35-RCS","BA35-RIS","BA36-ADS","BA36-AIS","BA36-ACS","BA36-RCS","BA36-RIS","BA37-ADS","BA37-AIS","BA37-ACS","BA37-RCS","BA37-RIS","BA38-ADS","BA38-AIS","BA38-ACS","BA38-RCS","BA38-RIS","BA39-ADS","BA39-AIS","BA39-ACS","BA39-RCS","BA39-RIS","BA40-ADS","BA40-AIS","BA40-ACS","BA40-RCS","BA40-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS"
"1","10.0","12.0","120.0","0.23255813953488372","0.27906976744186046","2.0","3.0","6.0","0.046511627906976744","0.06976744186046512","2.0","4.0","8.0","0.046511627906976744","0.09302325581395349","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","5.0","10.0","0.046511627906976744","0.11627906976744186","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","3.0","6.0","0.046511627906976744","0.06976744186046512","2.0","2.0","4.0","0.046511627906976744","0.046511627906976744","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","2.0","4.0","0.046511627906976744","0.046511627906976744","1.0","2.0","2.0","0.023255813953488372","0.046511627906976744","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","1.0","1.0","1.0","0.023255813953488372","0.023255813953488372","2.0","0.0","0.0","0.046511627906976744","0.0","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","1.0","2.0","2.0","0.023255813953488372","0.046511627906976744","1.0","2.0","2.0","0.023255813953488372","0.046511627906976744","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","1.0","1.0","1.0","0.023255813953488372","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","1.0","2.0","2.0","0.023255813953488372","0.046511627906976744","1.0","2.0","2.0","0.023255813953488372","0.046511627906976744","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","1.0","1.0","1.0","0.023255813953488372","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","2.0","1.0","2.0","0.046511627906976744","0.023255813953488372","1.0","1.0","1.0","0.023255813953488372","0.023255813953488372","9.0","1.0","9.0","0.20930232558139536","0.023255813953488372","21.0","0.0","0.0","0.4883720930232558","0.0","0.0","40.0","0.0","0.0","0.9302325581395349"
"2","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"3","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"4","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"5","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"6","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"7","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"8","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"9","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
"10","7.0","12.0","84.0","0.175","0.3","2.0","2.0","4.0","0.05","0.05","2.0","4.0","8.0","0.05","0.1","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","5.0","10.0","0.05","0.125","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","3.0","6.0","0.05","0.075","2.0","2.0","4.0","0.05","0.05","2.0","1.0","2.0","0.05","0.025","2.0","2.0","4.0","0.05","0.05","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","0.0","0.0","0.05","0.0","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","1.0","2.0","2.0","0.025","0.05","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","2.0","1.0","2.0","0.05","0.025","1.0","1.0","1.0","0.025","0.025","9.0","1.0","9.0","0.225","0.025","21.0","0.0","0.0","0.525","0.0","0.0","37.0","0.0","0.0","0.925"
