"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2779687","0.6445208","0.13817663817663817","3.5925925925925926","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","16.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","10.0","0","7.0","0","14.0","0","1.0","0","11.0","0","1.0","0","24.0","0","0.0","","0.0"
"1","0.2779687","0.6445208","0.13817663817663817","3.5925925925925926","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","16.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","10.0","0","7.0","0","14.0","0","1.0","0","11.0","0","1.0","0","24.0","0","0.0","","0.0"
"2","0.2779687","0.6445208","0.13817663817663817","3.5925925925925926","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","16.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","10.0","0","7.0","0","14.0","0","1.0","0","11.0","0","1.0","0","24.0","0","0.0","","0.0"
"3","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01829268","7.0","0","14.0","0","1.0","0","12.0","0.01666667","1.0","0","25.0","0.007731959","3.0","0","8.0","0"
"4","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.02307692","7.0","0","14.0","0","1.0","0","12.0","0.02105263","1.0","0","25.0","0.009836066","3.0","0","8.0","0"
"5","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.02380952","7.0","0","14.0","0","1.0","0","12.0","0.02173913","1.0","0","25.0","0.01020408","3.0","0","8.0","0"
"6","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.02316602","7.0","0","14.0","0","1.0","0","12.0","0.02116402","1.0","0","25.0","0.009966777","3.0","0","8.0","0"
"7","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.02205882","7.0","0","14.0","0","1.0","0","12.0","0.02016129","1.0","0","25.0","0.009517766","3.0","0","8.0","0"
"8","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.02083333","7.0","0","14.0","0","1.0","0","12.0","0.01904762","1.0","0","25.0","0.009009009","3.0","0","8.0","0"
"9","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01962617","7.0","0","14.0","0","1.0","0","12.0","0.01794872","1.0","0","25.0","0.008502024","3.0","0","8.0","0"
"10","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01848998","7.0","0","14.0","0","1.0","0","12.0","0.01691332","1.0","0","25.0","0.008021390","3.0","0","8.0","0"
"11","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01744186","7.0","0","14.0","0","1.0","0","12.0","0.01595745","1.0","0","25.0","0.007575758","3.0","0","8.0","0"
"12","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01648352","7.0","0","14.0","0","1.0","0","12.0","0.01508296","1.0","0","25.0","0.007166746","3.0","0","8.0","0"
"13","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1386555","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01561022","7.0","0","14.0","0","1.0","0","12.0","0.01428571","1.0","0","25.0","0.006792919","3.0","0","8.0","0"
"14","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01481481","7.0","0","14.0","0","1.0","0","12.0","0.01355932","1.0","0","25.0","0.006451613","3.0","0","8.0","0"
"15","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1282895","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01408960","7.0","0","14.0","0","1.0","0","12.0","0.01289683","1.0","0","25.0","0.006139798","3.0","0","8.0","0"
"16","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01342711","7.0","0","14.0","0","1.0","0","12.0","0.01229148","1.0","0","25.0","0.005854474","3.0","0","8.0","0"
"17","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01282051","7.0","0","14.0","0","1.0","0","12.0","0.01173709","1.0","0","25.0","0.005592841","3.0","0","8.0","0"
"18","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1148325","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01226367","7.0","0","14.0","0","1.0","0","12.0","0.01122807","1.0","0","25.0","0.005352364","3.0","0","8.0","0"
"19","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1108696","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01175115","7.0","0","14.0","0","1.0","0","12.0","0.01075949","1.0","0","25.0","0.005130785","3.0","0","8.0","0"
"20","0.2714286","0.6321429","0.13227513227513227","3.5714285714285716","2.0","0","1.0","0","3.0","0","3.0","0","3.0","0","8.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","16.0","0","0.0","0","1.0","0","11.0","0.01127820","7.0","0","14.0","0","1.0","0","12.0","0.01032702","1.0","0","25.0","0.004926108","3.0","0","8.0","0"
