"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1386749","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02351097","1.0","0","5.0","0","1.0","0","12.0","0.02147459","2.0","0","3.0","0"
"11","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1388889","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02296588","1.0","0","5.0","0","1.0","0","12.0","0.02098321","2.0","0","3.0","0"
"12","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1377727","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02229654","1.0","0","5.0","0","1.0","0","12.0","0.02037697","2.0","0","3.0","0"
"13","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1358149","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02157239","1.0","0","5.0","0","1.0","0","12.0","0.01971954","2.0","0","3.0","0"
"14","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02083333","1.0","0","5.0","0","1.0","0","12.0","0.01904762","2.0","0","3.0","0"
"15","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1305380","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02010234","1.0","0","5.0","0","1.0","0","12.0","0.01838235","2.0","0","3.0","0"
"16","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1275691","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01939237","1.0","0","5.0","0","1.0","0","12.0","0.01773574","2.0","0","3.0","0"
"17","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1245211","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01871042","1.0","0","5.0","0","1.0","0","12.0","0.01711427","2.0","0","3.0","0"
"18","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1214575","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01805986","1.0","0","5.0","0","1.0","0","12.0","0.01652112","2.0","0","3.0","0"
"19","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1184211","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01744186","1.0","0","5.0","0","1.0","0","12.0","0.01595745","2.0","0","3.0","0"
"20","0.2508306","0.5531561","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0.1154401","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01685630","1.0","0","5.0","0","1.0","0","12.0","0.01542317","2.0","0","3.0","0"
