"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","RD21-ADS","RD21-GINI -ADS","RD21-AIS","RD21-GINI -AIS","RD22-ADS","RD22-GINI -ADS","RD22-AIS","RD22-GINI -AIS","RD23-ADS","RD23-GINI -ADS","RD23-AIS","RD23-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS"
"10","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.08727273","1.0","0","2.0","0","1.0","0.2566845","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1558442","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"11","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.08333333","1.0","0","2.0","0","1.0","0.25","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.15","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"12","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.07957560","1.0","0","2.0","0","1.0","0.2429150","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1442308","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"13","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.07603687","1.0","0","2.0","0","1.0","0.2357143","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1386555","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"14","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.07272727","1.0","0","2.0","0","1.0","0.2285714","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1333333","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"15","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.06964286","1.0","0","2.0","0","1.0","0.2215909","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1282895","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"16","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.06677266","1.0","0","2.0","0","1.0","0.2148338","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1235294","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"17","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.06410256","1.0","0","2.0","0","1.0","0.2083333","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1190476","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"18","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.06161746","1.0","0","2.0","0","1.0","0.2021053","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1148325","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"19","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.05930233","1.0","0","2.0","0","1.0","0.1961538","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1108696","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
"20","0.3201754","0.4583333","0.13768115942028986","3.1666666666666665","3.0","0","2.0","0","11.0","0","2.0","0","3.0","0","4.0","0","3.0","0","2.0","0.05714286","1.0","0","2.0","0","1.0","0.1904762","6.0","0","5.0","0","2.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1071429","5.0","0","3.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","1.0","0","4.0","0","3.0","0","4.0","0","3.0","0","2.0","0","0.0","0","2.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","22.0","0"
