"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","2.0","0.0","0.0","0.2","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","2.0","0.0","0.0","0.2","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","2.0","0.0","0.0","0.2","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","1.0","2.0","2.0","0.1","0.2","2.0","0.0","0.0","0.2","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0"
"16","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0"
"17","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0"
"18","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","0.0","4.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333"
"19","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","0.0","4.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333"
"20","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","0.0","4.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333"
"21","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","0.0","4.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333"
