"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"11","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","7.0","0.0","0.0","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.6666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.6666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","6.0","1.0","6.0","0.46153846153846156","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","9.0","0.0","0.0","0.6923076923076923","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","6.0","1.0","6.0","0.46153846153846156","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","9.0","0.0","0.0","0.6923076923076923","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","6.0","1.0","6.0","0.46153846153846156","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","9.0","0.0","0.0","0.6923076923076923","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","10.0","0.0","0.0","0.7142857142857143","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","10.0","0.0","0.0","0.7142857142857143","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","10.0","0.0","0.0","0.7142857142857143","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","4.0","0.0","0.0","0.26666666666666666","0.0","0.0","11.0","0.0","0.0","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0"
"21","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","9.0","1.0","9.0","0.5625","0.0625","2.0","1.0","2.0","0.125","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","4.0","0.0","0.0","0.25","0.0","0.0","12.0","0.0","0.0","0.75","1.0","2.0","2.0","0.0625","0.125","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625"
