"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1704545","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.05565863","1.0","0","15.0","0"
"11","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1715686","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.05503145","1.0","0","15.0","0"
"12","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1709402","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.05398111","1.0","0","15.0","0"
"13","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1691729","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.05269321","1.0","0","15.0","0"
"14","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1666667","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.05128205","1.0","0","15.0","0"
"15","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1636905","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.04981884","1.0","0","15.0","0"
"16","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1604278","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.04834811","1.0","0","15.0","0"
"17","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1570048","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.04689755","1.0","0","15.0","0"
"18","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1535088","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.04548408","1.0","0","15.0","0"
"19","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.15","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.04411765","1.0","0","15.0","0"
"20","0.3456790","0.5061728","0.17647058823529413","3.0","9.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","3.0","0","1.0","0.1465201","4.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","0.0","0","10.0","0","6.0","0","4.0","0.04280364","1.0","0","15.0","0"
