"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS"
"11","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","3.0","4.0","12.0","0.13636363636363635","0.18181818181818182","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","9.0","1.0","9.0","0.4090909090909091","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","9.0","0.0","0.0","0.4090909090909091","0.0","1.0","10.0","10.0","0.045454545454545456","0.45454545454545453","7.0","9.0","63.0","0.3181818181818182","0.4090909090909091","0.0","7.0","0.0","0.0","0.3181818181818182","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","2.0","4.0","0.08","0.08","3.0","4.0","12.0","0.12","0.16","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","3.0","6.0","0.08","0.12","2.0","2.0","4.0","0.08","0.08","9.0","1.0","9.0","0.36","0.04","1.0","2.0","2.0","0.04","0.08","1.0","1.0","1.0","0.04","0.04","2.0","0.0","0.0","0.08","0.0","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","10.0","0.0","0.0","0.4","0.0","1.0","13.0","13.0","0.04","0.52","7.0","9.0","63.0","0.28","0.36","0.0","9.0","0.0","0.0","0.36","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","3.0","1.0","3.0","0.12","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","2.0","4.0","0.08","0.08","3.0","4.0","12.0","0.12","0.16","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","3.0","6.0","0.08","0.12","2.0","2.0","4.0","0.08","0.08","9.0","1.0","9.0","0.36","0.04","1.0","2.0","2.0","0.04","0.08","1.0","1.0","1.0","0.04","0.04","2.0","0.0","0.0","0.08","0.0","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","10.0","0.0","0.0","0.4","0.0","1.0","13.0","13.0","0.04","0.52","7.0","9.0","63.0","0.28","0.36","0.0","9.0","0.0","0.0","0.36","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","3.0","1.0","3.0","0.12","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.08","0.08","3.0","4.0","12.0","0.12","0.16","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","3.0","6.0","0.08","0.12","2.0","2.0","4.0","0.08","0.08","9.0","1.0","9.0","0.36","0.04","1.0","2.0","2.0","0.04","0.08","1.0","1.0","1.0","0.04","0.04","2.0","0.0","0.0","0.08","0.0","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","10.0","0.0","0.0","0.4","0.0","1.0","13.0","13.0","0.04","0.52","7.0","9.0","63.0","0.28","0.36","0.0","9.0","0.0","0.0","0.36","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","3.0","1.0","3.0","0.12","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","4.0","12.0","0.11538461538461539","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","9.0","1.0","9.0","0.34615384615384615","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","10.0","0.0","0.0","0.38461538461538464","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","0.0","10.0","0.0","0.0","0.38461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","4.0","12.0","0.11538461538461539","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","9.0","1.0","9.0","0.34615384615384615","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","10.0","0.0","0.0","0.38461538461538464","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","0.0","10.0","0.0","0.0","0.38461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","4.0","12.0","0.1111111111111111","0.14814814814814814","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","9.0","1.0","9.0","0.3333333333333333","0.037037037037037035","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","10.0","0.0","0.0","0.37037037037037035","0.0","1.0","15.0","15.0","0.037037037037037035","0.5555555555555556","7.0","9.0","63.0","0.25925925925925924","0.3333333333333333","0.0","10.0","0.0","0.0","0.37037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","5.0","15.0","0.10714285714285714","0.17857142857142858","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","9.0","1.0","9.0","0.32142857142857145","0.03571428571428571","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","0.0","0.0","0.07142857142857142","0.0","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","11.0","0.0","0.0","0.39285714285714285","0.0","1.0","16.0","16.0","0.03571428571428571","0.5714285714285714","7.0","9.0","63.0","0.25","0.32142857142857145","0.0","10.0","0.0","0.0","0.35714285714285715","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","5.0","15.0","0.10714285714285714","0.17857142857142858","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","9.0","1.0","9.0","0.32142857142857145","0.03571428571428571","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","0.0","0.0","0.07142857142857142","0.0","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","11.0","0.0","0.0","0.39285714285714285","0.0","1.0","16.0","16.0","0.03571428571428571","0.5714285714285714","7.0","9.0","63.0","0.25","0.32142857142857145","0.0","10.0","0.0","0.0","0.35714285714285715","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","5.0","15.0","0.10714285714285714","0.17857142857142858","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","9.0","1.0","9.0","0.32142857142857145","0.03571428571428571","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","0.0","0.0","0.07142857142857142","0.0","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","11.0","0.0","0.0","0.39285714285714285","0.0","1.0","16.0","16.0","0.03571428571428571","0.5714285714285714","7.0","9.0","63.0","0.25","0.32142857142857145","0.0","10.0","0.0","0.0","0.35714285714285715","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","3.0","5.0","15.0","0.1","0.16666666666666666","3.0","1.0","3.0","0.1","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","3.0","6.0","0.06666666666666667","0.1","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","9.0","1.0","9.0","0.3","0.03333333333333333","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","0.0","0.0","0.06666666666666667","0.0","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","13.0","0.0","0.0","0.43333333333333335","0.0","1.0","18.0","18.0","0.03333333333333333","0.6","7.0","9.0","63.0","0.23333333333333334","0.3","0.0","10.0","0.0","0.0","0.3333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333"
