"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1704545","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05454545","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02147459","2.0","0","4.0","0"
"11","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1715686","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05303030","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02098321","2.0","0","4.0","0"
"12","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1709402","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05128205","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02037697","2.0","0","4.0","0"
"13","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1691729","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04945055","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01971954","2.0","0","4.0","0"
"14","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1666667","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04761905","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01904762","2.0","0","4.0","0"
"15","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1636905","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04583333","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01838235","2.0","0","4.0","0"
"16","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1604278","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04411765","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01773574","2.0","0","4.0","0"
"17","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1570048","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04248366","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01711427","2.0","0","4.0","0"
"18","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1535088","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04093567","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01652112","2.0","0","4.0","0"
"19","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.15","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03947368","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01595745","2.0","0","4.0","0"
"20","0.2484848","0.5363636","0.20952380952380953","2.933333333333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","4.0","0.1465201","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03809524","6.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01542317","2.0","0","4.0","0"
