"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","3.0","2.0","6.0","0.375","0.25","3.0","0.0","0.0","0.375","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75"
"2","3.0","2.0","6.0","0.375","0.25","3.0","0.0","0.0","0.375","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75"
"3","3.0","2.0","6.0","0.375","0.25","3.0","0.0","0.0","0.375","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75"
"4","3.0","2.0","6.0","0.375","0.25","3.0","0.0","0.0","0.375","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75"
"5","3.0","2.0","6.0","0.375","0.25","3.0","0.0","0.0","0.375","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75"
"6","3.0","2.0","6.0","0.375","0.25","3.0","0.0","0.0","0.375","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75"
"7","5.0","1.0","5.0","0.7142857142857143","0.14285714285714285","3.0","0.0","0.0","0.42857142857142855","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143"
"8","5.0","1.0","5.0","0.7142857142857143","0.14285714285714285","3.0","0.0","0.0","0.42857142857142855","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143"
"9","5.0","1.0","5.0","0.7142857142857143","0.14285714285714285","3.0","0.0","0.0","0.42857142857142855","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143"
"10","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6"
"11","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6"
"12","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6"
"13","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6"
"14","2.0","1.0","2.0","0.5","0.25","3.0","0.0","0.0","0.75","0.0","0.0","3.0","0.0","0.0","0.75","1.0","2.0","2.0","0.25","0.5"
"15","2.0","1.0","2.0","0.5","0.25","3.0","0.0","0.0","0.75","0.0","0.0","3.0","0.0","0.0","0.75","1.0","2.0","2.0","0.25","0.5"
"16","2.0","1.0","2.0","0.5","0.25","3.0","0.0","0.0","0.75","0.0","0.0","3.0","0.0","0.0","0.75","1.0","2.0","2.0","0.25","0.5"
"17","2.0","1.0","2.0","0.5","0.25","3.0","0.0","0.0","0.75","0.0","0.0","3.0","0.0","0.0","0.75","1.0","2.0","2.0","0.25","0.5"
"18","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","4.0","0.0","0.0","0.8","1.0","2.0","2.0","0.2","0.4"
"19","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","4.0","0.0","0.0","0.8","1.0","2.0","2.0","0.2","0.4"
"20","3.0","1.0","3.0","0.6","0.2","3.0","0.0","0.0","0.6","0.0","0.0","4.0","0.0","0.0","0.8","1.0","2.0","2.0","0.2","0.4"
"21","2.0","1.0","2.0","0.5","0.25","3.0","0.0","0.0","0.75","0.0","0.0","3.0","0.0","0.0","0.75","1.0","2.0","2.0","0.25","0.5"
