"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS"
"1","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"2","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"3","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"4","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"5","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"6","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"7","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"8","1.0","2.0","2.0","0.1","0.2","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"9","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"10","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"11","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"12","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"13","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"14","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"15","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"16","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"17","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"18","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"19","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"20","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
"21","1.0","1.0","1.0","0.1","0.1","1.0","3.0","3.0","0.1","0.3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","5.0","5.0","0.1","0.5","2.0","2.0","4.0","0.2","0.2","0.0","3.0","0.0","0.0","0.3"
