"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","4.0","3.0","12.0","0.16666666666666666","0.125","5.0","3.0","15.0","0.20833333333333334","0.125","8.0","2.0","16.0","0.3333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","5.0","13.0","65.0","0.20833333333333334","0.5416666666666666","4.0","4.0","16.0","0.16666666666666666","0.16666666666666666","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","6.0","3.0","18.0","0.25","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0"
"2","4.0","3.0","12.0","0.16666666666666666","0.125","5.0","3.0","15.0","0.20833333333333334","0.125","8.0","2.0","16.0","0.3333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","5.0","13.0","65.0","0.20833333333333334","0.5416666666666666","4.0","4.0","16.0","0.16666666666666666","0.16666666666666666","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","6.0","3.0","18.0","0.25","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0"
"3","4.0","3.0","12.0","0.16666666666666666","0.125","5.0","3.0","15.0","0.20833333333333334","0.125","8.0","2.0","16.0","0.3333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","5.0","13.0","65.0","0.20833333333333334","0.5416666666666666","4.0","4.0","16.0","0.16666666666666666","0.16666666666666666","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","6.0","3.0","18.0","0.25","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0"
"4","4.0","3.0","12.0","0.16666666666666666","0.125","5.0","3.0","15.0","0.20833333333333334","0.125","8.0","2.0","16.0","0.3333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","5.0","13.0","65.0","0.20833333333333334","0.5416666666666666","4.0","4.0","16.0","0.16666666666666666","0.16666666666666666","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","6.0","3.0","18.0","0.25","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0"
"5","4.0","3.0","12.0","0.16","0.12","5.0","3.0","15.0","0.2","0.12","8.0","2.0","16.0","0.32","0.08","5.0","1.0","5.0","0.2","0.04","3.0","1.0","3.0","0.12","0.04","7.0","2.0","14.0","0.28","0.08","5.0","7.0","35.0","0.2","0.28","4.0","4.0","16.0","0.16","0.16","4.0","1.0","4.0","0.16","0.04","5.0","2.0","10.0","0.2","0.08","4.0","2.0","8.0","0.16","0.08","4.0","1.0","4.0","0.16","0.04","6.0","3.0","18.0","0.24","0.12","4.0","3.0","12.0","0.16","0.12","4.0","0.0","0.0","0.16","0.0","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","4.0","0.0","0.0","0.16","0.0","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","1.0","22.0","22.0","0.04","0.88","1.0","9.0","9.0","0.04","0.36","1.0","23.0","23.0","0.04","0.92","2.0","6.0","12.0","0.08","0.24"
"6","4.0","3.0","12.0","0.16","0.12","5.0","3.0","15.0","0.2","0.12","8.0","2.0","16.0","0.32","0.08","5.0","1.0","5.0","0.2","0.04","3.0","1.0","3.0","0.12","0.04","7.0","2.0","14.0","0.28","0.08","5.0","7.0","35.0","0.2","0.28","4.0","4.0","16.0","0.16","0.16","4.0","1.0","4.0","0.16","0.04","5.0","2.0","10.0","0.2","0.08","4.0","2.0","8.0","0.16","0.08","4.0","1.0","4.0","0.16","0.04","6.0","3.0","18.0","0.24","0.12","4.0","3.0","12.0","0.16","0.12","4.0","0.0","0.0","0.16","0.0","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","4.0","0.0","0.0","0.16","0.0","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","1.0","22.0","22.0","0.04","0.88","1.0","9.0","9.0","0.04","0.36","1.0","23.0","23.0","0.04","0.92","2.0","6.0","12.0","0.08","0.24"
"7","4.0","3.0","12.0","0.16","0.12","5.0","3.0","15.0","0.2","0.12","8.0","2.0","16.0","0.32","0.08","5.0","1.0","5.0","0.2","0.04","3.0","1.0","3.0","0.12","0.04","7.0","2.0","14.0","0.28","0.08","5.0","7.0","35.0","0.2","0.28","4.0","4.0","16.0","0.16","0.16","4.0","1.0","4.0","0.16","0.04","5.0","2.0","10.0","0.2","0.08","4.0","2.0","8.0","0.16","0.08","4.0","1.0","4.0","0.16","0.04","6.0","3.0","18.0","0.24","0.12","4.0","3.0","12.0","0.16","0.12","4.0","0.0","0.0","0.16","0.0","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","4.0","0.0","0.0","0.16","0.0","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","1.0","22.0","22.0","0.04","0.88","1.0","9.0","9.0","0.04","0.36","1.0","23.0","23.0","0.04","0.92","2.0","6.0","12.0","0.08","0.24"
"8","4.0","3.0","12.0","0.16","0.12","5.0","3.0","15.0","0.2","0.12","8.0","2.0","16.0","0.32","0.08","5.0","1.0","5.0","0.2","0.04","3.0","1.0","3.0","0.12","0.04","7.0","2.0","14.0","0.28","0.08","5.0","7.0","35.0","0.2","0.28","4.0","4.0","16.0","0.16","0.16","4.0","1.0","4.0","0.16","0.04","5.0","2.0","10.0","0.2","0.08","4.0","2.0","8.0","0.16","0.08","4.0","1.0","4.0","0.16","0.04","6.0","3.0","18.0","0.24","0.12","4.0","3.0","12.0","0.16","0.12","4.0","0.0","0.0","0.16","0.0","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","4.0","0.0","0.0","0.16","0.0","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","1.0","22.0","22.0","0.04","0.88","1.0","9.0","9.0","0.04","0.36","1.0","23.0","23.0","0.04","0.92","2.0","6.0","12.0","0.08","0.24"
"9","4.0","3.0","12.0","0.16","0.12","5.0","3.0","15.0","0.2","0.12","8.0","2.0","16.0","0.32","0.08","5.0","1.0","5.0","0.2","0.04","3.0","1.0","3.0","0.12","0.04","7.0","2.0","14.0","0.28","0.08","5.0","7.0","35.0","0.2","0.28","4.0","4.0","16.0","0.16","0.16","4.0","1.0","4.0","0.16","0.04","5.0","2.0","10.0","0.2","0.08","4.0","2.0","8.0","0.16","0.08","4.0","1.0","4.0","0.16","0.04","6.0","3.0","18.0","0.24","0.12","4.0","3.0","12.0","0.16","0.12","4.0","0.0","0.0","0.16","0.0","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","4.0","0.0","0.0","0.16","0.0","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","1.0","22.0","22.0","0.04","0.88","1.0","9.0","9.0","0.04","0.36","1.0","23.0","23.0","0.04","0.92","2.0","6.0","12.0","0.08","0.24"
"10","4.0","3.0","12.0","0.16","0.12","5.0","3.0","15.0","0.2","0.12","8.0","2.0","16.0","0.32","0.08","5.0","1.0","5.0","0.2","0.04","3.0","1.0","3.0","0.12","0.04","7.0","2.0","14.0","0.28","0.08","5.0","7.0","35.0","0.2","0.28","4.0","4.0","16.0","0.16","0.16","4.0","1.0","4.0","0.16","0.04","5.0","2.0","10.0","0.2","0.08","4.0","2.0","8.0","0.16","0.08","4.0","1.0","4.0","0.16","0.04","6.0","3.0","18.0","0.24","0.12","4.0","3.0","12.0","0.16","0.12","4.0","0.0","0.0","0.16","0.0","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","4.0","0.0","0.0","0.16","0.0","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","1.0","22.0","22.0","0.04","0.88","1.0","9.0","9.0","0.04","0.36","1.0","23.0","23.0","0.04","0.92","2.0","6.0","12.0","0.08","0.24"
