"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02901354","7.0","0","11.0","0","1.0","0","10.0","0.02597403","1.0","0","20.0","0.01268499","3.0","0","6.0","0"
"11","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1715686","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02831715","7.0","0","11.0","0","1.0","0","10.0","0.02536232","1.0","0","20.0","0.01241135","3.0","0","6.0","0"
"12","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1709402","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02747253","7.0","0","11.0","0","1.0","0","10.0","0.02461538","1.0","0","20.0","0.01206637","3.0","0","6.0","0"
"13","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1691729","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02656434","7.0","0","11.0","0","1.0","0","10.0","0.02380952","1.0","0","20.0","0.01168831","3.0","0","6.0","0"
"14","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02564103","7.0","0","11.0","0","1.0","0","10.0","0.02298851","1.0","0","20.0","0.01129944","3.0","0","6.0","0"
"15","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1636905","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02473022","7.0","0","11.0","0","1.0","0","10.0","0.02217742","1.0","0","20.0","0.01091270","3.0","0","6.0","0"
"16","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1604278","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02384738","7.0","0","11.0","0","1.0","0","10.0","0.02139037","1.0","0","20.0","0.01053556","3.0","0","6.0","0"
"17","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1570048","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02300071","7.0","0","11.0","0","1.0","0","10.0","0.02063492","1.0","0","20.0","0.01017214","3.0","0","6.0","0"
"18","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1535088","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02219404","7.0","0","11.0","0","1.0","0","10.0","0.01991465","1.0","0","20.0","0.009824561","3.0","0","6.0","0"
"19","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02142857","7.0","0","11.0","0","1.0","0","10.0","0.01923077","1.0","0","20.0","0.009493671","3.0","0","6.0","0"
"20","0.2399560","0.5888828","0.15612648221343872","3.4347826086956523","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","6.0","0.1465201","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","9.0","0.02070393","7.0","0","11.0","0","1.0","0","10.0","0.01858304","1.0","0","20.0","0.009179575","3.0","0","6.0","0"
