"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2946128","0.5909091","0.21568627450980393","3.6666666666666665","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"1","0.2946128","0.5909091","0.21568627450980393","3.6666666666666665","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"2","0.2946128","0.5909091","0.21568627450980393","3.6666666666666665","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"3","0.2946128","0.5909091","0.21568627450980393","3.6666666666666665","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","15.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"4","0.2883295","0.5827613","0.20175438596491227","3.6315789473684212","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.08888889","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0.01052632","1.0","0","8.0","0.02222222","1.0","0","17.0","0.009876543","3.0","0","5.0","0"
"5","0.2883295","0.5827613","0.20175438596491227","3.6315789473684212","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1333333","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0.01449275","1.0","0","8.0","0.03030303","1.0","0","17.0","0.01360544","3.0","0","5.0","0"
"6","0.2883295","0.5827613","0.20175438596491227","3.6315789473684212","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1558442","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0.01587302","1.0","0","8.0","0.03296703","1.0","0","17.0","0.01490683","3.0","0","5.0","0"
"7","0.2883295","0.5827613","0.20175438596491227","3.6315789473684212","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1666667","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0.01612903","1.0","0","8.0","0.03333333","1.0","0","17.0","0.01515152","3.0","0","5.0","0"
"8","0.2883295","0.5827613","0.20175438596491227","3.6315789473684212","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1709402","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0.01587302","1.0","0","8.0","0.03267974","1.0","0","17.0","0.01491424","3.0","0","5.0","0"
"9","0.2883295","0.5827613","0.20175438596491227","3.6315789473684212","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1714286","3.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","16.0","0.01538462","1.0","0","8.0","0.03157895","1.0","0","17.0","0.01445783","3.0","0","5.0","0"
