"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","RD24-ADS","RD24-AIS","RD24-ACS","RD24-RCS","RD24-RIS","RD25-ADS","RD25-AIS","RD25-ACS","RD25-RCS","RD25-RIS","RD26-ADS","RD26-AIS","RD26-ACS","RD26-RCS","RD26-RIS","RD27-ADS","RD27-AIS","RD27-ACS","RD27-RCS","RD27-RIS","RD28-ADS","RD28-AIS","RD28-ACS","RD28-RCS","RD28-RIS","RD29-ADS","RD29-AIS","RD29-ACS","RD29-RCS","RD29-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","5.0","20.0","0.12903225806451613","0.16129032258064516","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","3.0","15.0","0.16129032258064516","0.0967741935483871","2.0","6.0","12.0","0.06451612903225806","0.1935483870967742","3.0","4.0","12.0","0.0967741935483871","0.12903225806451613","5.0","4.0","20.0","0.16129032258064516","0.12903225806451613","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","6.0","4.0","24.0","0.1935483870967742","0.12903225806451613","6.0","11.0","66.0","0.1935483870967742","0.3548387096774194","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","4.0","5.0","20.0","0.12903225806451613","0.16129032258064516","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","7.0","1.0","7.0","0.22580645161290322","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","5.0","3.0","15.0","0.16129032258064516","0.0967741935483871","5.0","4.0","20.0","0.16129032258064516","0.12903225806451613","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","7.0","4.0","28.0","0.22580645161290322","0.12903225806451613","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","5.0","10.0","0.06451612903225806","0.16129032258064516","2.0","0.0","0.0","0.06451612903225806","0.0","0.0","29.0","0.0","0.0","0.9354838709677419","0.0","0.0","0.0","0.0","0.0"
"2","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","5.0","20.0","0.12903225806451613","0.16129032258064516","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","3.0","15.0","0.16129032258064516","0.0967741935483871","2.0","6.0","12.0","0.06451612903225806","0.1935483870967742","3.0","4.0","12.0","0.0967741935483871","0.12903225806451613","5.0","4.0","20.0","0.16129032258064516","0.12903225806451613","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","6.0","4.0","24.0","0.1935483870967742","0.12903225806451613","6.0","11.0","66.0","0.1935483870967742","0.3548387096774194","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","4.0","5.0","20.0","0.12903225806451613","0.16129032258064516","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","7.0","1.0","7.0","0.22580645161290322","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","5.0","3.0","15.0","0.16129032258064516","0.0967741935483871","5.0","4.0","20.0","0.16129032258064516","0.12903225806451613","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","7.0","4.0","28.0","0.22580645161290322","0.12903225806451613","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","5.0","10.0","0.06451612903225806","0.16129032258064516","2.0","0.0","0.0","0.06451612903225806","0.0","0.0","29.0","0.0","0.0","0.9354838709677419","0.0","0.0","0.0","0.0","0.0"
"3","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","5.0","20.0","0.12903225806451613","0.16129032258064516","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","3.0","15.0","0.16129032258064516","0.0967741935483871","2.0","6.0","12.0","0.06451612903225806","0.1935483870967742","3.0","4.0","12.0","0.0967741935483871","0.12903225806451613","5.0","4.0","20.0","0.16129032258064516","0.12903225806451613","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","6.0","4.0","24.0","0.1935483870967742","0.12903225806451613","6.0","11.0","66.0","0.1935483870967742","0.3548387096774194","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","4.0","5.0","20.0","0.12903225806451613","0.16129032258064516","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","7.0","1.0","7.0","0.22580645161290322","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","5.0","3.0","15.0","0.16129032258064516","0.0967741935483871","5.0","4.0","20.0","0.16129032258064516","0.12903225806451613","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","7.0","4.0","28.0","0.22580645161290322","0.12903225806451613","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","5.0","10.0","0.06451612903225806","0.16129032258064516","2.0","0.0","0.0","0.06451612903225806","0.0","0.0","29.0","0.0","0.0","0.9354838709677419","0.0","0.0","0.0","0.0","0.0"
"4","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
"5","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
"6","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
"7","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
"8","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
"9","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
"10","2.0","4.0","8.0","0.0625","0.125","6.0","1.0","6.0","0.1875","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","5.0","20.0","0.125","0.15625","2.0","3.0","6.0","0.0625","0.09375","5.0","3.0","15.0","0.15625","0.09375","2.0","6.0","12.0","0.0625","0.1875","3.0","4.0","12.0","0.09375","0.125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","4.0","24.0","0.1875","0.125","6.0","6.0","36.0","0.1875","0.1875","1.0","1.0","1.0","0.03125","0.03125","4.0","5.0","20.0","0.125","0.15625","6.0","2.0","12.0","0.1875","0.0625","6.0","2.0","12.0","0.1875","0.0625","7.0","1.0","7.0","0.21875","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","4.0","8.0","0.0625","0.125","5.0","3.0","15.0","0.15625","0.09375","5.0","4.0","20.0","0.15625","0.125","4.0","1.0","4.0","0.125","0.03125","2.0","2.0","4.0","0.0625","0.0625","7.0","4.0","28.0","0.21875","0.125","5.0","1.0","5.0","0.15625","0.03125","2.0","3.0","6.0","0.0625","0.09375","5.0","1.0","5.0","0.15625","0.03125","2.0","5.0","10.0","0.0625","0.15625","2.0","0.0","0.0","0.0625","0.0","0.0","30.0","0.0","0.0","0.9375","1.0","5.0","5.0","0.03125","0.15625"
