"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"1","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","15.0","1.0","15.0","0.6521739130434783","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","12.0","0.0","0.0","0.5217391304347826","11.0","8.0","88.0","0.4782608695652174","0.34782608695652173","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","15.0","1.0","15.0","0.6521739130434783","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","12.0","0.0","0.0","0.5217391304347826","11.0","8.0","88.0","0.4782608695652174","0.34782608695652173","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","15.0","1.0","15.0","0.6521739130434783","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","12.0","0.0","0.0","0.5217391304347826","11.0","8.0","88.0","0.4782608695652174","0.34782608695652173","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","15.0","1.0","15.0","0.6521739130434783","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","12.0","0.0","0.0","0.5217391304347826","11.0","8.0","88.0","0.4782608695652174","0.34782608695652173","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","15.0","1.0","15.0","0.625","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.25","0.0","0.0","13.0","0.0","0.0","0.5416666666666666","11.0","8.0","88.0","0.4583333333333333","0.3333333333333333","1.0","21.0","21.0","0.041666666666666664","0.875","3.0","1.0","3.0","0.125","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","15.0","1.0","15.0","0.625","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.25","0.0","0.0","13.0","0.0","0.0","0.5416666666666666","11.0","8.0","88.0","0.4583333333333333","0.3333333333333333","1.0","21.0","21.0","0.041666666666666664","0.875","3.0","1.0","3.0","0.125","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","15.0","1.0","15.0","0.625","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","4.0","0.0","0.0","0.16666666666666666","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.25","0.0","0.0","13.0","0.0","0.0","0.5416666666666666","11.0","8.0","88.0","0.4583333333333333","0.3333333333333333","1.0","21.0","21.0","0.041666666666666664","0.875","3.0","1.0","3.0","0.125","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","0.0","0.0","0.08","0.0","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","15.0","1.0","15.0","0.6","0.04","2.0","2.0","4.0","0.08","0.08","2.0","3.0","6.0","0.08","0.12","4.0","0.0","0.0","0.16","0.0","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","2.0","3.0","6.0","0.08","0.12","2.0","2.0","4.0","0.08","0.08","7.0","0.0","0.0","0.28","0.0","0.0","14.0","0.0","0.0","0.56","11.0","8.0","88.0","0.44","0.32","1.0","21.0","21.0","0.04","0.84","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","0.0","0.0","0.08","0.0","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","15.0","1.0","15.0","0.6","0.04","2.0","2.0","4.0","0.08","0.08","2.0","3.0","6.0","0.08","0.12","4.0","0.0","0.0","0.16","0.0","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","2.0","3.0","6.0","0.08","0.12","2.0","2.0","4.0","0.08","0.08","7.0","0.0","0.0","0.28","0.0","0.0","14.0","0.0","0.0","0.56","11.0","8.0","88.0","0.44","0.32","1.0","21.0","21.0","0.04","0.84","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","15.0","1.0","15.0","0.5769230769230769","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.3076923076923077","0.0","0.0","15.0","0.0","0.0","0.5769230769230769","11.0","8.0","88.0","0.4230769230769231","0.3076923076923077","1.0","22.0","22.0","0.038461538461538464","0.8461538461538461","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
