"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.1234991","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.02272727","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.009128946","2.0","0","3.0","0"
"11","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.1184211","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.02142857","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.008620690","2.0","0","3.0","0"
"12","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.1134931","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.02024291","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.008154390","2.0","0","3.0","0"
"13","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.1087912","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01916376","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.007728337","2.0","0","3.0","0"
"14","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.1043478","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01818182","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.007339450","2.0","0","3.0","0"
"15","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.1001712","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01728723","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.006984241","2.0","0","3.0","0"
"16","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.09625668","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01647059","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.006659267","2.0","0","3.0","0"
"17","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.09259259","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01572327","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.006361323","2.0","0","3.0","0"
"18","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.08916409","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01503759","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.006087508","2.0","0","3.0","0"
"19","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.08595506","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01440678","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.005835240","2.0","0","3.0","0"
"20","0.3051852","0.5955556","0.135","3.24","2.0","0","4.0","0.08294931","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","15.0","0","0.0","0","1.0","0","9.0","0.01382488","6.0","0","13.0","0","1.0","0","9.0","0","1.0","0","22.0","0.005602241","2.0","0","3.0","0"
