"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2818182","0.4818182","0.24444444444444444","2.2","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"1","0.2818182","0.4818182","0.24444444444444444","2.2","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"2","0.2818182","0.4818182","0.24444444444444444","2.2","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"3","0.2818182","0.4818182","0.24444444444444444","2.2","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"4","0.2818182","0.4818182","0.24444444444444444","2.2","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"5","0.2818182","0.4818182","0.24444444444444444","2.2","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"6","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.05194805","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.01714286","0.0","0","5.0","0.02955665","2.0","0","2.0","0"
"7","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.08333333","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.02586207","0.0","0","5.0","0.04411765","2.0","0","2.0","0"
"8","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1025641","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03030303","0.0","0","5.0","0.05128205","2.0","0","2.0","0"
"9","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1142857","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03243243","0.0","0","5.0","0.05454545","2.0","0","2.0","0"
