"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","7.0","21.0","0.25","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","1.0","9.0","9.0","0.08333333333333333","0.75","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","7.0","21.0","0.25","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","1.0","9.0","9.0","0.08333333333333333","0.75","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","7.0","21.0","0.25","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","1.0","9.0","9.0","0.08333333333333333","0.75","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","7.0","21.0","0.25","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","1.0","9.0","9.0","0.08333333333333333","0.75","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","7.0","21.0","0.25","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","1.0","9.0","9.0","0.08333333333333333","0.75","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","7.0","21.0","0.25","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","1.0","9.0","9.0","0.08333333333333333","0.75","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","8.0","24.0","0.23076923076923078","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","0.0","0.0","0.15384615384615385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","8.0","24.0","0.23076923076923078","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","0.0","0.0","0.15384615384615385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","8.0","24.0","0.23076923076923078","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","0.0","0.0","0.15384615384615385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","8.0","24.0","0.23076923076923078","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","0.0","0.0","0.15384615384615385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.0","1.0","3.0","0.1875","0.0625","3.0","11.0","33.0","0.1875","0.6875","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","0.0","15.0","0.0","0.0","0.9375","1.0","11.0","11.0","0.0625","0.6875","2.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.1875","0.0","2.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0"
