"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.4688995","0.4545455","0.14393939393939395","1.5833333333333333","1.0","0","2.0","0","4.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"1","0.4688995","0.4545455","0.14393939393939395","1.5833333333333333","1.0","0","2.0","0","4.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"2","0.4688995","0.4545455","0.14393939393939395","1.5833333333333333","1.0","0","2.0","0","4.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"3","0.4688995","0.4545455","0.14393939393939395","1.5833333333333333","1.0","0","2.0","0","4.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"4","0.4688995","0.4545455","0.14393939393939395","1.5833333333333333","1.0","0","2.0","0","4.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"5","0.4491979","0.4385027","0.15454545454545454","1.5454545454545454","1.0","0","1.0","0.07575758","2.0","0.07575758","2.0","0.04901961","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","4.0","0.02873563","3.0","0","4.0","0"
"6","0.4491979","0.4385027","0.15454545454545454","1.5454545454545454","1.0","0","1.0","0.1190476","2.0","0.1190476","2.0","0.07518797","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","4.0","0.04329004","3.0","0","4.0","0"
"7","0.4491979","0.4385027","0.15454545454545454","1.5454545454545454","1.0","0","1.0","0.1442308","2.0","0.1442308","2.0","0.08928571","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","2.0","0","5.0","0","0.0","0","0.0","0","4.0","0.05067568","3.0","0","4.0","0"
"8","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1587302","1.0","0.1975309","2.0","0.09661836","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.05228758","5.0","0","0.0","0","0.0","0","4.0","0.05420054","3.0","0","4.0","0"
"9","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1666667","1.0","0.2357143","2.0","0.1","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.08888889","5.0","0","0.0","0","0.0","0","4.0","0.05555556","3.0","0","4.0","0"
"10","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1704545","1.0","0.2633229","2.0","0.1010101","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1148325","5.0","0","0.0","0","0.0","0","4.0","0.05565863","3.0","0","4.0","0"
"11","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1715686","1.0","0.2833333","2.0","0.1005747","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1333333","5.0","0","0.0","0","0.0","0","4.0","0.05503145","3.0","0","4.0","0"
"12","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1709402","1.0","0.2977667","2.0","0.09925558","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1465201","5.0","0","0.0","0","0.0","0","4.0","0.05398111","3.0","0","4.0","0"
"13","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1691729","1.0","0.3080357","2.0","0.09740260","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1558442","5.0","0","0.0","0","0.0","0","4.0","0.05269321","3.0","0","4.0","0"
"14","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1666667","1.0","0.3151515","2.0","0.09523810","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1623188","5.0","0","0.0","0","0.0","0","4.0","0.05128205","3.0","0","4.0","0"
"15","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1636905","1.0","0.3198529","2.0","0.09290541","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1666667","5.0","0","0.0","0","0.0","0","4.0","0.04981884","3.0","0","4.0","0"
"16","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1604278","1.0","0.3226891","2.0","0.09049774","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1694118","5.0","0","0.0","0","0.0","0","4.0","0.04834811","3.0","0","4.0","0"
"17","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1570048","1.0","0.3240741","2.0","0.08807588","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1709402","5.0","0","0.0","0","0.0","0","4.0","0.04689755","3.0","0","4.0","0"
"18","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1535088","1.0","0.3243243","2.0","0.08567931","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1715400","5.0","0","0.0","0","0.0","0","4.0","0.04548408","3.0","0","4.0","0"
"19","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.15","1.0","0.3236842","2.0","0.08333333","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1714286","5.0","0","0.0","0","0.0","0","4.0","0.04411765","3.0","0","4.0","0"
"20","0.4545455","0.4431818","0.14545454545454545","1.4545454545454546","1.0","0","1.0","0.1465201","1.0","0.3223443","2.0","0.08105370","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","1.0","0","1.0","0","0.0","0","1.0","0.1707718","5.0","0","0.0","0","0.0","0","4.0","0.04280364","3.0","0","4.0","0"
