"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2775","0.5975","0.20833333333333334","3.125","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","8.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"1","0.2775","0.5975","0.20833333333333334","3.125","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","8.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"2","0.2775","0.5975","0.20833333333333334","3.125","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","8.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"3","0.2775","0.5975","0.20833333333333334","3.125","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","8.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"4","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.07804878","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01951220","8.0","0","5.0","0","1.0","0","7.0","0.02580645","1.0","0","14.0","0.01212121","3.0","0","4.0","0"
"5","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1159420","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02666667","8.0","0","5.0","0","1.0","0","7.0","0.03508772","1.0","0","14.0","0.01666667","3.0","0","4.0","0"
"6","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1344538","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02905569","8.0","0","5.0","0","1.0","0","7.0","0.03809524","1.0","0","14.0","0.01823708","3.0","0","4.0","0"
"7","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1428571","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02941176","8.0","0","5.0","0","1.0","0","7.0","0.03846154","1.0","0","14.0","0.01851852","3.0","0","4.0","0"
"8","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1457195","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02886003","8.0","0","5.0","0","1.0","0","7.0","0.03766478","1.0","0","14.0","0.01821494","3.0","0","4.0","0"
"9","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1454545","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02790698","8.0","0","5.0","0","1.0","0","7.0","0.03636364","1.0","0","14.0","0.01764706","3.0","0","4.0","0"
