"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2138680","0.7000835","0.18421052631578946","3.3157894736842106","3.0","0","1.0","0","3.0","0","13.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","16.0","0","1.0","0","7.0","0","1.0","0","17.0","0","0.0","","0.0"
"1","0.2138680","0.7000835","0.18421052631578946","3.3157894736842106","3.0","0","1.0","0","3.0","0","13.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","16.0","0","1.0","0","7.0","0","1.0","0","17.0","0","0.0","","0.0"
"2","0.2138680","0.7000835","0.18421052631578946","3.3157894736842106","3.0","0","1.0","0","3.0","0","13.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","16.0","0","1.0","0","7.0","0","1.0","0","17.0","0","0.0","","0.0"
"3","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.09782609","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01153846","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
"4","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.1358491","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01463415","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
"5","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.15","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01515152","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
"6","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.1535181","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01477833","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
"7","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.1520270","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01409774","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
"8","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.1481481","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01333333","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
"9","0.234375","0.6828125","0.16842105263157894","3.2","3.0","0","1.0","0","3.0","0","7.0","0.1431818","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","17.0","0.01257485","1.0","0","7.0","0","1.0","0","17.0","0","1.0","0","6.0","0"
