"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS"
"1","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"2","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"3","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"4","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"5","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"6","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"7","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"8","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"9","1.0","2.0","2.0","0.125","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","3.0","9.0","0.375","0.375"
"10","0.0","2.0","0.0","0.0","0.25","1.0","1.0","1.0","0.125","0.125","4.0","1.0","4.0","0.5","0.125","0.0","2.0","0.0","0.0","0.25","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","0.0","2.0","0.0","0.0","0.25","3.0","2.0","6.0","0.375","0.25"
