"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09740260","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05565863","3.0","0","5.0","0","1.0","0","9.0","0.02932551","2.0","0","1.0","0"
"11","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05555556","3.0","0","5.0","0","1.0","0","9.0","0.02941176","2.0","0","1.0","0"
"12","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1009615","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05475880","3.0","0","5.0","0","1.0","0","9.0","0.02910603","2.0","0","1.0","0"
"13","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1008403","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05357143","3.0","0","5.0","0","1.0","0","9.0","0.02857143","2.0","0","1.0","0"
"14","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05217391","3.0","0","5.0","0","1.0","0","9.0","0.02790698","2.0","0","1.0","0"
"15","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09868421","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05067568","3.0","0","5.0","0","1.0","0","9.0","0.02717391","2.0","0","1.0","0"
"16","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09705882","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.04914371","3.0","0","5.0","0","1.0","0","9.0","0.02641056","2.0","0","1.0","0"
"17","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09523810","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.04761905","3.0","0","5.0","0","1.0","0","9.0","0.02564103","2.0","0","1.0","0"
"18","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09330144","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.04612655","3.0","0","5.0","0","1.0","0","9.0","0.02488038","2.0","0","1.0","0"
"19","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09130435","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.04468085","3.0","0","5.0","0","1.0","0","9.0","0.02413793","2.0","0","1.0","0"
"20","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.08928571","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.04329004","3.0","0","5.0","0","1.0","0","9.0","0.02341920","2.0","0","1.0","0"
