"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","5.0","5.0","25.0","0.23809523809523808","0.23809523809523808","3.0","4.0","12.0","0.14285714285714285","0.19047619047619047","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"2","5.0","5.0","25.0","0.23809523809523808","0.23809523809523808","3.0","4.0","12.0","0.14285714285714285","0.19047619047619047","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"3","5.0","5.0","25.0","0.23809523809523808","0.23809523809523808","3.0","4.0","12.0","0.14285714285714285","0.19047619047619047","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"4","5.0","5.0","25.0","0.23809523809523808","0.23809523809523808","3.0","4.0","12.0","0.14285714285714285","0.19047619047619047","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"5","3.0","5.0","15.0","0.14285714285714285","0.23809523809523808","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"6","3.0","5.0","15.0","0.14285714285714285","0.23809523809523808","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"7","3.0","5.0","15.0","0.14285714285714285","0.23809523809523808","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"8","3.0","5.0","15.0","0.14285714285714285","0.23809523809523808","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"9","3.0","5.0","15.0","0.14285714285714285","0.23809523809523808","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
"10","3.0","5.0","15.0","0.14285714285714285","0.23809523809523808","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","13.0","0.0","0.0","0.6190476190476191","0.0","0.0","18.0","0.0","0.0","0.8571428571428571","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048"
