"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.09790210","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03486924","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"11","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.09523810","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03333333","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"12","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.09230769","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03183024","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"13","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.08928571","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03039514","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"14","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.08627451","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02904290","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"15","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.08333333","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02777778","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"16","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.08049536","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02659847","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"17","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.07777778","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02550091","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"18","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.07518797","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02447980","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"19","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.07272727","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02352941","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"20","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.07039337","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02264402","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
