"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2944444","0.5","0.22727272727272727","2.5","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","5.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.2944444","0.5","0.22727272727272727","2.5","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","5.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.2944444","0.5","0.22727272727272727","2.5","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","5.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.2944444","0.5","0.22727272727272727","2.5","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","5.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02580645","5.0","0","4.0","0","1.0","0","10.0","0.01739130","2.0","0","2.0","0"
"5","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03508772","5.0","0","4.0","0","1.0","0","10.0","0.02380952","2.0","0","2.0","0"
"6","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1558442","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03809524","5.0","0","4.0","0","1.0","0","10.0","0.02597403","2.0","0","2.0","0"
"7","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03846154","5.0","0","4.0","0","1.0","0","10.0","0.02631579","2.0","0","2.0","0"
"8","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1709402","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03766478","5.0","0","4.0","0","1.0","0","10.0","0.02583979","2.0","0","2.0","0"
"9","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03636364","5.0","0","4.0","0","1.0","0","10.0","0.025","2.0","0","2.0","0"
