"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA22-ADS","BA22-AIS","BA22-ACS","BA22-RCS","BA22-RIS","BA23-ADS","BA23-AIS","BA23-ACS","BA23-RCS","BA23-RIS","BA24-ADS","BA24-AIS","BA24-ACS","BA24-RCS","BA24-RIS","BA25-ADS","BA25-AIS","BA25-ACS","BA25-RCS","BA25-RIS","BA26-ADS","BA26-AIS","BA26-ACS","BA26-RCS","BA26-RIS","BA27-ADS","BA27-AIS","BA27-ACS","BA27-RCS","BA27-RIS","BA29-ADS","BA29-AIS","BA29-ACS","BA29-RCS","BA29-RIS","BA30-ADS","BA30-AIS","BA30-ACS","BA30-RCS","BA30-RIS","BA31-ADS","BA31-AIS","BA31-ACS","BA31-RCS","BA31-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","12.0","7.0","84.0","0.36363636363636365","0.21212121212121213","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","6.0","18.0","0.09090909090909091","0.18181818181818182","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","4.0","12.0","0.09090909090909091","0.12121212121212122","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.06060606060606061","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.06060606060606061","0.0","0.0","31.0","0.0","0.0","0.9393939393939394","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394"
"2","8.0","7.0","56.0","0.27586206896551724","0.2413793103448276","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","6.0","18.0","0.10344827586206896","0.20689655172413793","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","4.0","12.0","0.10344827586206896","0.13793103448275862","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","0.0","27.0","0.0","0.0","0.9310344827586207","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207"
"3","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"4","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"5","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"6","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"7","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"8","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"9","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
"10","4.0","7.0","28.0","0.16","0.28","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","6.0","18.0","0.12","0.24","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","4.0","12.0","0.12","0.16","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","0.0","23.0","0.0","0.0","0.92","1.0","23.0","23.0","0.04","0.92"
