"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"1","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"2","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"3","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"4","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"5","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"6","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"7","0.2697368","0.5328947","0.3392857142857143","2.375","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"8","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.05228758","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.01616162","1.0","0","6.0","0","1.0","0","2.0","0"
"9","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.08888889","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02580645","1.0","0","6.0","0","1.0","0","2.0","0"
"10","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.1148325","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03162055","1.0","0","6.0","0","1.0","0","2.0","0"
"11","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.1333333","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03508772","1.0","0","6.0","0","1.0","0","2.0","0"
"12","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.1465201","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03707136","1.0","0","6.0","0","1.0","0","2.0","0"
"13","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.1558442","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03809524","1.0","0","6.0","0","1.0","0","2.0","0"
"14","0.3","0.5444444","0.2777777777777778","2.2222222222222223","2.0","0","2.0","0.1623188","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03848797","1.0","0","6.0","0","1.0","0","2.0","0"
