"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"11","1.0","2.0","2.0","0.125","0.25","2.0","3.0","6.0","0.25","0.375","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","4.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","2.0","2.0","0.125","0.25","2.0","3.0","6.0","0.25","0.375","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","4.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","2.0","2.0","0.125","0.25","2.0","3.0","6.0","0.25","0.375","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","4.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","2.0","2.0","0.125","0.25","2.0","3.0","6.0","0.25","0.375","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","4.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","2.0","2.0","0.125","0.25","2.0","3.0","6.0","0.25","0.375","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","4.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","2.0","2.0","0.125","0.25","2.0","3.0","6.0","0.25","0.375","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","4.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","6.0","0.0","0.0","0.6666666666666666","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"18","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","6.0","0.0","0.0","0.6666666666666666","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"19","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","6.0","0.0","0.0","0.6666666666666666","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"20","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","6.0","0.0","0.0","0.6666666666666666","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"21","1.0","2.0","2.0","0.1","0.2","2.0","4.0","8.0","0.2","0.4","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1","6.0","0.0","0.0","0.6","0.0","0.0","7.0","0.0","0.0","0.7","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1"
