"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3117284","0.4228395","0.20454545454545456","2.25","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.3117284","0.4228395","0.20454545454545456","2.25","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.3117284","0.4228395","0.20454545454545456","2.25","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.3117284","0.4228395","0.20454545454545456","2.25","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.3117284","0.4228395","0.20454545454545456","2.25","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.3117284","0.4228395","0.20454545454545456","2.25","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","0.0","","0.0"
"6","0.2970822","0.4350133","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.05194805","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.02380952","5.0","0","4.0","0","0.0","0","6.0","0.02380952","2.0","0","2.0","0"
"7","0.2970822","0.4350133","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.08333333","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03571429","5.0","0","4.0","0","0.0","0","6.0","0.03571429","2.0","0","2.0","0"
"8","0.2970822","0.4350133","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1025641","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04166667","5.0","0","4.0","0","0.0","0","6.0","0.04166667","2.0","0","2.0","0"
"9","0.2970822","0.4350133","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1142857","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04444444","5.0","0","4.0","0","0.0","0","6.0","0.04444444","2.0","0","2.0","0"
"10","0.2970822","0.4350133","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1212121","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04545455","5.0","0","4.0","0","0.0","0","6.0","0.04545455","2.0","0","2.0","0"
"11","0.2970822","0.4350133","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.125","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04545455","5.0","0","4.0","0","0.0","0","6.0","0.04545455","2.0","0","2.0","0"
