"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS"
"1","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"2","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"3","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"4","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"5","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"6","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"7","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"8","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","4.0","12.0","0.42857142857142855","0.5714285714285714"
"9","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","3.0","9.0","0.42857142857142855","0.42857142857142855"
"10","4.0","1.0","4.0","0.5714285714285714","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","1.0","0.0","0.0","0.14285714285714285","0.0","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","0.0","2.0","0.0","0.0","0.2857142857142857","3.0","3.0","9.0","0.42857142857142855","0.42857142857142855"
