"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS"
"1","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"2","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"3","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"4","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"5","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"6","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"7","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"8","2.0","4.0","8.0","0.2","0.4","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","8.0","0.0","0.0","0.8"
"9","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"10","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"11","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"12","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"13","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"14","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"15","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"16","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"17","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"18","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"19","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"20","5.0","3.0","15.0","0.5555555555555556","0.3333333333333333","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","7.0","0.0","0.0","0.7777777777777778"
"21","1.0","3.0","3.0","0.2","0.6","2.0","0.0","0.0","0.4","0.0","2.0","0.0","0.0","0.4","0.0","2.0","0.0","0.0","0.4","0.0","0.0","4.0","0.0","0.0","0.8"
