"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","5.0","30.0","0.4","0.3333333333333333","1.0","12.0","12.0","0.06666666666666667","0.8"
"2","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","5.0","30.0","0.4","0.3333333333333333","1.0","12.0","12.0","0.06666666666666667","0.8"
"3","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","5.0","30.0","0.4","0.3333333333333333","1.0","12.0","12.0","0.06666666666666667","0.8"
"4","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","5.0","30.0","0.4","0.3333333333333333","1.0","12.0","12.0","0.06666666666666667","0.8"
"5","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","4.0","24.0","0.4","0.26666666666666666","1.0","12.0","12.0","0.06666666666666667","0.8"
"6","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","4.0","24.0","0.4","0.26666666666666666","1.0","12.0","12.0","0.06666666666666667","0.8"
"7","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","4.0","24.0","0.4","0.26666666666666666","1.0","12.0","12.0","0.06666666666666667","0.8"
"8","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","4.0","24.0","0.4","0.26666666666666666","1.0","12.0","12.0","0.06666666666666667","0.8"
"9","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","4.0","24.0","0.4","0.26666666666666666","1.0","12.0","12.0","0.06666666666666667","0.8"
"10","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","3.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","0.0","0.0","0.13333333333333333","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","6.0","4.0","24.0","0.4","0.26666666666666666","1.0","12.0","12.0","0.06666666666666667","0.8"
