"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"11","2.0","5.0","10.0","0.1111111111111111","0.2777777777777778","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","4.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.05555555555555555","0.5","6.0","7.0","42.0","0.3333333333333333","0.3888888888888889","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","14.0","14.0","0.05555555555555555","0.7777777777777778","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","5.0","10.0","0.1111111111111111","0.2777777777777778","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","4.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.05555555555555555","0.5","6.0","7.0","42.0","0.3333333333333333","0.3888888888888889","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","14.0","14.0","0.05555555555555555","0.7777777777777778","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","5.0","10.0","0.1111111111111111","0.2777777777777778","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","4.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.05555555555555555","0.5","6.0","7.0","42.0","0.3333333333333333","0.3888888888888889","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","14.0","14.0","0.05555555555555555","0.7777777777777778","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","5.0","10.0","0.1111111111111111","0.2777777777777778","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","4.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.05555555555555555","0.5","6.0","7.0","42.0","0.3333333333333333","0.3888888888888889","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","14.0","14.0","0.05555555555555555","0.7777777777777778","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","6.0","12.0","0.10526315789473684","0.3157894736842105","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","6.0","7.0","42.0","0.3157894736842105","0.3684210526315789","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","15.0","15.0","0.05263157894736842","0.7894736842105263","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","6.0","12.0","0.10526315789473684","0.3157894736842105","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","6.0","7.0","42.0","0.3157894736842105","0.3684210526315789","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","15.0","15.0","0.05263157894736842","0.7894736842105263","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","6.0","12.0","0.10526315789473684","0.3157894736842105","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","6.0","7.0","42.0","0.3157894736842105","0.3684210526315789","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","15.0","15.0","0.05263157894736842","0.7894736842105263","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","6.0","12.0","0.10526315789473684","0.3157894736842105","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","6.0","7.0","42.0","0.3157894736842105","0.3684210526315789","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","15.0","15.0","0.05263157894736842","0.7894736842105263","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","7.0","14.0","0.1","0.35","4.0","2.0","8.0","0.2","0.1","2.0","1.0","2.0","0.1","0.05","2.0","0.0","0.0","0.1","0.0","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","3.0","0.0","0.0","0.15","0.0","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","1.0","11.0","11.0","0.05","0.55","6.0","7.0","42.0","0.3","0.35","1.0","8.0","8.0","0.05","0.4","1.0","16.0","16.0","0.05","0.8","3.0","0.0","0.0","0.15","0.0","3.0","0.0","0.0","0.15","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","7.0","14.0","0.1","0.35","4.0","2.0","8.0","0.2","0.1","2.0","1.0","2.0","0.1","0.05","2.0","0.0","0.0","0.1","0.0","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","3.0","0.0","0.0","0.15","0.0","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","1.0","11.0","11.0","0.05","0.55","6.0","7.0","42.0","0.3","0.35","1.0","8.0","8.0","0.05","0.4","1.0","16.0","16.0","0.05","0.8","3.0","0.0","0.0","0.15","0.0","3.0","0.0","0.0","0.15","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","8.0","16.0","0.09523809523809523","0.38095238095238093","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","1.0","12.0","12.0","0.047619047619047616","0.5714285714285714","6.0","7.0","42.0","0.2857142857142857","0.3333333333333333","1.0","9.0","9.0","0.047619047619047616","0.42857142857142855","1.0","17.0","17.0","0.047619047619047616","0.8095238095238095","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","4.0","0.0","0.0","0.19047619047619047","0.0"
