"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS"
"11","4.0","4.0","16.0","0.2857142857142857","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","6.0","0.0","0.0","0.42857142857142855"
"12","4.0","4.0","16.0","0.2857142857142857","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","6.0","0.0","0.0","0.42857142857142855"
"13","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"14","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"15","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"16","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"17","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"18","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"19","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"20","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
"21","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156"
