"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS","MSV15-ADS","MSV15-AIS","MSV15-ACS","MSV15-RCS","MSV15-RIS","MSV16-ADS","MSV16-AIS","MSV16-ACS","MSV16-RCS","MSV16-RIS","MSV17-ADS","MSV17-AIS","MSV17-ACS","MSV17-RCS","MSV17-RIS"
"11","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","12.0","24.0","0.07142857142857142","0.42857142857142855","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","2.0","4.0","8.0","0.07142857142857142","0.14285714285714285","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","6.0","1.0","6.0","0.21428571428571427","0.03571428571428571","13.0","0.0","0.0","0.4642857142857143","0.0","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","1.0","11.0","11.0","0.03571428571428571","0.39285714285714285","1.0","22.0","22.0","0.03571428571428571","0.7857142857142857","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","12.0","24.0","0.07142857142857142","0.42857142857142855","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","2.0","4.0","8.0","0.07142857142857142","0.14285714285714285","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","6.0","1.0","6.0","0.21428571428571427","0.03571428571428571","13.0","0.0","0.0","0.4642857142857143","0.0","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","1.0","11.0","11.0","0.03571428571428571","0.39285714285714285","1.0","22.0","22.0","0.03571428571428571","0.7857142857142857","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","13.0","26.0","0.06896551724137931","0.4482758620689655","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","23.0","23.0","0.034482758620689655","0.7931034482758621","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","13.0","26.0","0.06896551724137931","0.4482758620689655","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","23.0","23.0","0.034482758620689655","0.7931034482758621","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","15.0","30.0","0.06451612903225806","0.4838709677419355","5.0","2.0","10.0","0.16129032258064516","0.06451612903225806","5.0","2.0","10.0","0.16129032258064516","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","5.0","2.0","10.0","0.16129032258064516","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","16.0","0.0","0.0","0.5161290322580645","0.0","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","1.0","12.0","12.0","0.03225806451612903","0.3870967741935484","1.0","24.0","24.0","0.03225806451612903","0.7741935483870968","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","17.0","34.0","0.06060606060606061","0.5151515151515151","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","2.0","4.0","8.0","0.06060606060606061","0.12121212121212122","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","18.0","0.0","0.0","0.5454545454545454","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","12.0","12.0","0.030303030303030304","0.36363636363636365","1.0","24.0","24.0","0.030303030303030304","0.7272727272727273","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","18.0","36.0","0.058823529411764705","0.5294117647058824","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","2.0","4.0","8.0","0.058823529411764705","0.11764705882352941","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","19.0","0.0","0.0","0.5588235294117647","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","12.0","12.0","0.029411764705882353","0.35294117647058826","1.0","25.0","25.0","0.029411764705882353","0.7352941176470589","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","19.0","38.0","0.05714285714285714","0.5428571428571428","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","2.0","4.0","8.0","0.05714285714285714","0.11428571428571428","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","6.0","1.0","6.0","0.17142857142857143","0.02857142857142857","20.0","0.0","0.0","0.5714285714285714","0.0","1.0","32.0","32.0","0.02857142857142857","0.9142857142857143","1.0","12.0","12.0","0.02857142857142857","0.34285714285714286","1.0","26.0","26.0","0.02857142857142857","0.7428571428571429","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","19.0","38.0","0.05714285714285714","0.5428571428571428","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","2.0","4.0","8.0","0.05714285714285714","0.11428571428571428","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","6.0","1.0","6.0","0.17142857142857143","0.02857142857142857","20.0","0.0","0.0","0.5714285714285714","0.0","1.0","32.0","32.0","0.02857142857142857","0.9142857142857143","1.0","12.0","12.0","0.02857142857142857","0.34285714285714286","1.0","26.0","26.0","0.02857142857142857","0.7428571428571429","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","2.0","20.0","40.0","0.05555555555555555","0.5555555555555556","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","5.0","1.0","5.0","0.1388888888888889","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","2.0","4.0","8.0","0.05555555555555555","0.1111111111111111","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","5.0","1.0","5.0","0.1388888888888889","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","6.0","1.0","6.0","0.16666666666666666","0.027777777777777776","21.0","0.0","0.0","0.5833333333333334","0.0","1.0","33.0","33.0","0.027777777777777776","0.9166666666666666","1.0","13.0","13.0","0.027777777777777776","0.3611111111111111","1.0","27.0","27.0","0.027777777777777776","0.75","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","3.0","1.0","3.0","0.08333333333333333","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","23.0","46.0","0.05128205128205128","0.5897435897435898","5.0","2.0","10.0","0.1282051282051282","0.05128205128205128","5.0","2.0","10.0","0.1282051282051282","0.05128205128205128","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","4.0","8.0","0.05128205128205128","0.10256410256410256","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","5.0","2.0","10.0","0.1282051282051282","0.05128205128205128","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","6.0","1.0","6.0","0.15384615384615385","0.02564102564102564","24.0","0.0","0.0","0.6153846153846154","0.0","1.0","36.0","36.0","0.02564102564102564","0.9230769230769231","1.0","15.0","15.0","0.02564102564102564","0.38461538461538464","1.0","29.0","29.0","0.02564102564102564","0.7435897435897436","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564","3.0","1.0","3.0","0.07692307692307693","0.02564102564102564"
