"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"12","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"13","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"14","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"15","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"16","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"17","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"18","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"19","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"20","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
"21","2.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","2.0","0.0","0.0","0.2","0.0","1.0","7.0","7.0","0.1","0.7","0.0","5.0","0.0","0.0","0.5","2.0","2.0","4.0","0.2","0.2"
