"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1704545","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.03285871","8.0","0","10.0","0","0.0","0","9.0","0.02901354","2.0","0","3.0","0"
"11","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1715686","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.03205128","8.0","0","10.0","0","0.0","0","9.0","0.02831715","2.0","0","3.0","0"
"12","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1709402","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.03108003","8.0","0","10.0","0","0.0","0","9.0","0.02747253","2.0","0","3.0","0"
"13","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1691729","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.03004005","8.0","0","10.0","0","0.0","0","9.0","0.02656434","2.0","0","3.0","0"
"14","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1666667","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02898551","8.0","0","10.0","0","0.0","0","9.0","0.02564103","2.0","0","3.0","0"
"15","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1636905","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02794715","8.0","0","10.0","0","0.0","0","9.0","0.02473022","2.0","0","3.0","0"
"16","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1604278","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02694207","8.0","0","10.0","0","0.0","0","9.0","0.02384738","2.0","0","3.0","0"
"17","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1570048","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02597922","8.0","0","10.0","0","0.0","0","9.0","0.02300071","2.0","0","3.0","0"
"18","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1535088","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02506266","8.0","0","10.0","0","0.0","0","9.0","0.02219404","2.0","0","3.0","0"
"19","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.15","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02419355","8.0","0","10.0","0","0.0","0","9.0","0.02142857","2.0","0","3.0","0"
"20","0.3678805","0.5004669","0.12142857142857143","2.4285714285714284","2.0","0","3.0","0.1465201","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","7.0","0","0.0","0","1.0","0","8.0","0.02337131","8.0","0","10.0","0","0.0","0","9.0","0.02070393","2.0","0","3.0","0"
