"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","RD24-ADS","RD24-AIS","RD24-ACS","RD24-RCS","RD24-RIS","RD25-ADS","RD25-AIS","RD25-ACS","RD25-RCS","RD25-RIS","RD26-ADS","RD26-AIS","RD26-ACS","RD26-RCS","RD26-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"1","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","18.0","2.0","36.0","0.6206896551724138","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","5.0","10.0","0.06896551724137931","0.1724137931034483","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","1.0","16.0","16.0","0.034482758620689655","0.5517241379310345","17.0","11.0","187.0","0.5862068965517241","0.3793103448275862","0.0","11.0","0.0","0.0","0.3793103448275862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","18.0","2.0","36.0","0.6206896551724138","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","5.0","10.0","0.06896551724137931","0.1724137931034483","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","1.0","16.0","16.0","0.034482758620689655","0.5517241379310345","17.0","11.0","187.0","0.5862068965517241","0.3793103448275862","0.0","11.0","0.0","0.0","0.3793103448275862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","18.0","2.0","36.0","0.6206896551724138","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","5.0","10.0","0.06896551724137931","0.1724137931034483","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","1.0","16.0","16.0","0.034482758620689655","0.5517241379310345","17.0","11.0","187.0","0.5862068965517241","0.3793103448275862","0.0","11.0","0.0","0.0","0.3793103448275862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","18.0","2.0","36.0","0.6206896551724138","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","5.0","10.0","0.06896551724137931","0.1724137931034483","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","1.0","16.0","16.0","0.034482758620689655","0.5517241379310345","17.0","11.0","187.0","0.5862068965517241","0.3793103448275862","0.0","11.0","0.0","0.0","0.3793103448275862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","18.0","2.0","36.0","0.6206896551724138","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","5.0","10.0","0.06896551724137931","0.1724137931034483","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","1.0","16.0","16.0","0.034482758620689655","0.5517241379310345","17.0","11.0","187.0","0.5862068965517241","0.3793103448275862","0.0","11.0","0.0","0.0","0.3793103448275862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","18.0","2.0","36.0","0.6206896551724138","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","5.0","10.0","0.06896551724137931","0.1724137931034483","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","1.0","16.0","16.0","0.034482758620689655","0.5517241379310345","17.0","11.0","187.0","0.5862068965517241","0.3793103448275862","0.0","11.0","0.0","0.0","0.3793103448275862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","18.0","2.0","36.0","0.5806451612903226","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","4.0","3.0","12.0","0.12903225806451613","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","1.0","0.0","0.0","0.03225806451612903","0.0","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","5.0","10.0","0.06451612903225806","0.16129032258064516","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","1.0","18.0","18.0","0.03225806451612903","0.5806451612903226","17.0","11.0","187.0","0.5483870967741935","0.3548387096774194","0.0","12.0","0.0","0.0","0.3870967741935484","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","18.0","2.0","36.0","0.5806451612903226","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","4.0","3.0","12.0","0.12903225806451613","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","1.0","0.0","0.0","0.03225806451612903","0.0","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","5.0","10.0","0.06451612903225806","0.16129032258064516","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","1.0","18.0","18.0","0.03225806451612903","0.5806451612903226","17.0","11.0","187.0","0.5483870967741935","0.3548387096774194","0.0","12.0","0.0","0.0","0.3870967741935484","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","18.0","2.0","36.0","0.5806451612903226","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","4.0","3.0","12.0","0.12903225806451613","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","1.0","0.0","0.0","0.03225806451612903","0.0","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","5.0","10.0","0.06451612903225806","0.16129032258064516","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","1.0","18.0","18.0","0.03225806451612903","0.5806451612903226","17.0","11.0","187.0","0.5483870967741935","0.3548387096774194","0.0","12.0","0.0","0.0","0.3870967741935484","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","4.0","2.0","8.0","0.125","0.0625","1.0","2.0","2.0","0.03125","0.0625","2.0","1.0","2.0","0.0625","0.03125","1.0","2.0","2.0","0.03125","0.0625","2.0","2.0","4.0","0.0625","0.0625","2.0","1.0","2.0","0.0625","0.03125","2.0","2.0","4.0","0.0625","0.0625","2.0","1.0","2.0","0.0625","0.03125","18.0","2.0","36.0","0.5625","0.0625","3.0","2.0","6.0","0.09375","0.0625","2.0","4.0","8.0","0.0625","0.125","3.0","3.0","9.0","0.09375","0.09375","4.0","3.0","12.0","0.125","0.09375","1.0","1.0","1.0","0.03125","0.03125","3.0","3.0","9.0","0.09375","0.09375","1.0","2.0","2.0","0.03125","0.0625","2.0","3.0","6.0","0.0625","0.09375","2.0","3.0","6.0","0.0625","0.09375","1.0","1.0","1.0","0.03125","0.03125","1.0","2.0","2.0","0.03125","0.0625","1.0","0.0","0.0","0.03125","0.0","3.0","1.0","3.0","0.09375","0.03125","2.0","2.0","4.0","0.0625","0.0625","2.0","1.0","2.0","0.0625","0.03125","2.0","5.0","10.0","0.0625","0.15625","6.0","1.0","6.0","0.1875","0.03125","1.0","19.0","19.0","0.03125","0.59375","17.0","11.0","187.0","0.53125","0.34375","0.0","13.0","0.0","0.0","0.40625","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","3.0","0.0","0.0","0.09375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
