"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"1","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"2","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"3","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"4","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"5","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"6","0.3125","0.6125","0.17777777777777778","1.6","1.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"7","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.03804348","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.01346154","1.0","0","1.0","0"
"8","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.06222222","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02102102","1.0","0","1.0","0"
"9","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.07777778","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02530120","1.0","0","1.0","0"
"10","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.08777429","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02766798","1.0","0","1.0","0"
"11","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.09408602","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02887789","1.0","0","1.0","0"
"12","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.09790210","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02937063","1.0","0","1.0","0"
"13","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.1","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02941176","1.0","0","1.0","0"
"14","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.1009009","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02916667","1.0","0","1.0","0"
"15","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.1009615","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02874088","1.0","0","1.0","0"
"16","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.1004304","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02820306","1.0","0","1.0","0"
"17","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.09948320","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02759857","1.0","0","1.0","0"
"18","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.09824561","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02695764","1.0","0","1.0","0"
"19","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.09680851","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02630058","1.0","0","1.0","0"
"20","0.3101604","0.5989305","0.15454545454545454","1.5454545454545454","1.0","0","2.0","0.09523810","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02564103","1.0","0","1.0","0"
