"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3277311","0.4957983","0.18681318681318682","2.4285714285714284","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","4.0","0","8.0","0","7.0","0","0.0","0","6.0","0","0.0","","0.0"
"1","0.3277311","0.4957983","0.18681318681318682","2.4285714285714284","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","4.0","0","8.0","0","7.0","0","0.0","0","6.0","0","0.0","","0.0"
"2","0.3277311","0.4957983","0.18681318681318682","2.4285714285714284","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","4.0","0","8.0","0","7.0","0","0.0","0","6.0","0","0.0","","0.0"
"3","0.3277311","0.4957983","0.18681318681318682","2.4285714285714284","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","4.0","0","8.0","0","7.0","0","0.0","0","6.0","0","0.0","","0.0"
"4","0.3148148","0.4666667","0.17142857142857143","2.4","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","4.0","0.08888889","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","5.0","0.03809524","8.0","0","7.0","0","0.0","0","7.0","0.02580645","2.0","0","4.0","0"
"5","0.3148148","0.4666667","0.17142857142857143","2.4","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","5.0","0.05128205","8.0","0","7.0","0","0.0","0","7.0","0.03508772","2.0","0","4.0","0"
"6","0.3148148","0.4666667","0.17142857142857143","2.4","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","4.0","0.1558442","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","5.0","0.05529954","8.0","0","7.0","0","0.0","0","7.0","0.03809524","2.0","0","4.0","0"
"7","0.3148148","0.4666667","0.17142857142857143","2.4","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","4.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","5.0","0.05555556","8.0","0","7.0","0","0.0","0","7.0","0.03846154","2.0","0","4.0","0"
"8","0.3148148","0.4666667","0.17142857142857143","2.4","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","4.0","0.1709402","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","5.0","0.05420054","8.0","0","7.0","0","0.0","0","7.0","0.03766478","2.0","0","4.0","0"
"9","0.3148148","0.4666667","0.17142857142857143","2.4","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","4.0","0.1714286","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","5.0","0.05217391","8.0","0","7.0","0","0.0","0","7.0","0.03636364","2.0","0","4.0","0"
