"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.06060606","3.0","0","1.0","0","2.0","0.08727273","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"11","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.05769231","3.0","0","1.0","0","2.0","0.08333333","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"12","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.05494505","3.0","0","1.0","0","2.0","0.07957560","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"13","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.05238095","3.0","0","1.0","0","2.0","0.07603687","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"14","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.05","3.0","0","1.0","0","2.0","0.07272727","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"15","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.04779412","3.0","0","1.0","0","2.0","0.06964286","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"16","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.04575163","3.0","0","1.0","0","2.0","0.06677266","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"17","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.04385965","3.0","0","1.0","0","2.0","0.06410256","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"18","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.04210526","3.0","0","1.0","0","2.0","0.06161746","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"19","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.04047619","3.0","0","1.0","0","2.0","0.05930233","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
"20","0.2626984","0.6039683","0.16578947368421051","3.15","4.0","0","3.0","0","3.0","0","3.0","0.03896104","3.0","0","1.0","0","2.0","0.05714286","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0","1.0","0","18.0","0"
