"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","1.0","0.0","0.0","0.14285714285714285","0.0","4.0","0.0","0.0","0.5714285714285714","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"2","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","1.0","0.0","0.0","0.14285714285714285","0.0","4.0","0.0","0.0","0.5714285714285714","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"3","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","1.0","0.0","0.0","0.14285714285714285","0.0","4.0","0.0","0.0","0.5714285714285714","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"4","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","1.0","0.0","0.0","0.14285714285714285","0.0","4.0","0.0","0.0","0.5714285714285714","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"5","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","1.0","0.0","0.0","0.14285714285714285","0.0","4.0","0.0","0.0","0.5714285714285714","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"6","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.5","0.0","0.0","6.0","0.0","0.0","0.75","1.0","2.0","2.0","0.125","0.25"
"7","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.5","0.0","0.0","6.0","0.0","0.0","0.75","1.0","2.0","2.0","0.125","0.25"
"8","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.5","0.0","0.0","6.0","0.0","0.0","0.75","1.0","2.0","2.0","0.125","0.25"
"9","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.5","0.0","0.0","6.0","0.0","0.0","0.75","1.0","2.0","2.0","0.125","0.25"
"10","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","1.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.5","0.0","0.0","6.0","0.0","0.0","0.75","1.0","2.0","2.0","0.125","0.25"
