"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"10","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1696970","3.0","0","4.0","0","1.0","0.1696970","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"11","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1666667","3.0","0","4.0","0","1.0","0.1666667","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"12","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1628959","3.0","0","4.0","0","1.0","0.1628959","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"13","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1587302","3.0","0","4.0","0","1.0","0.1587302","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"14","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1543860","3.0","0","4.0","0","1.0","0.1543860","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"15","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.15","3.0","0","4.0","0","1.0","0.15","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"16","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1456583","3.0","0","4.0","0","1.0","0.1456583","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"17","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1414141","3.0","0","4.0","0","1.0","0.1414141","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"18","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1372998","3.0","0","4.0","0","1.0","0.1372998","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"19","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1333333","3.0","0","4.0","0","1.0","0.1333333","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
"20","0.3766667","0.4166667","0.1893939393939394","2.0833333333333335","1.0","0.1295238","3.0","0","4.0","0","1.0","0.1295238","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","3.0","0","4.0","0","0.0","0","5.0","0"
