"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3277311","0.5966387","0.15441176470588236","2.4705882352941178","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","9.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"1","0.3277311","0.5966387","0.15441176470588236","2.4705882352941178","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","9.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"2","0.3277311","0.5966387","0.15441176470588236","2.4705882352941178","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","9.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"3","0.3277311","0.5966387","0.15441176470588236","2.4705882352941178","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","9.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"4","0.3277311","0.5966387","0.15441176470588236","2.4705882352941178","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","9.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"5","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.06830601","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.02688172","9.0","0","9.0","0","0.0","0","8.0","0.01937984","2.0","0","5.0","0"
"6","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1066098","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03861004","9.0","0","9.0","0","0.0","0","8.0","0.02801120","2.0","0","5.0","0"
"7","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1284247","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04360465","9.0","0","9.0","0","0.0","0","8.0","0.03177966","2.0","0","5.0","0"
"8","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1406470","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04535147","9.0","0","9.0","0","0.0","0","8.0","0.03316750","2.0","0","5.0","0"
"9","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1470588","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04545455","9.0","0","9.0","0","0.0","0","8.0","0.03333333","2.0","0","5.0","0"
"10","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1498501","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04470939","9.0","0","9.0","0","0.0","0","8.0","0.03285871","2.0","0","5.0","0"
"11","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1503436","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04353234","9.0","0","9.0","0","0.0","0","8.0","0.03205128","2.0","0","5.0","0"
"12","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1493652","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04214963","9.0","0","9.0","0","0.0","0","8.0","0.03108003","2.0","0","5.0","0"
"13","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1474443","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04068716","9.0","0","9.0","0","0.0","0","8.0","0.03004005","2.0","0","5.0","0"
"14","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1449275","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03921569","9.0","0","9.0","0","0.0","0","8.0","0.02898551","2.0","0","5.0","0"
"15","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1420455","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03777473","9.0","0","9.0","0","0.0","0","8.0","0.02794715","2.0","0","5.0","0"
"16","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1389532","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03638569","9.0","0","9.0","0","0.0","0","8.0","0.02694207","2.0","0","5.0","0"
"17","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1357561","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03505933","9.0","0","9.0","0","0.0","0","8.0","0.02597922","2.0","0","5.0","0"
"18","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1325256","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03380010","9.0","0","9.0","0","0.0","0","8.0","0.02506266","2.0","0","5.0","0"
"19","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1293103","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03260870","9.0","0","9.0","0","0.0","0","8.0","0.02419355","2.0","0","5.0","0"
"20","0.3181818","0.5580808","0.1437908496732026","2.4444444444444446","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.1261432","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03148367","9.0","0","9.0","0","0.0","0","8.0","0.02337131","2.0","0","5.0","0"
