"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2546419","0.5782493","0.1858974358974359","2.230769230769231","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0","4.0","0","3.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.2546419","0.5782493","0.1858974358974359","2.230769230769231","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0","4.0","0","3.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.2546419","0.5782493","0.1858974358974359","2.230769230769231","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0","4.0","0","3.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1071429","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02586207","4.0","0","3.0","0","0.0","0","6.0","0.03571429","2.0","0","4.0","0"
"4","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03243243","4.0","0","3.0","0","0.0","0","6.0","0.04444444","2.0","0","4.0","0"
"5","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03333333","4.0","0","3.0","0","0.0","0","6.0","0.04545455","2.0","0","4.0","0"
"6","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03234501","4.0","0","3.0","0","0.0","0","6.0","0.04395604","2.0","0","4.0","0"
"7","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1704545","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03073770","4.0","0","3.0","0","0.0","0","6.0","0.04166667","2.0","0","4.0","0"
"8","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02898551","4.0","0","3.0","0","0.0","0","6.0","0.03921569","2.0","0","4.0","0"
"9","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1615385","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02727273","4.0","0","3.0","0","0.0","0","6.0","0.03684211","2.0","0","4.0","0"
