"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","6.0","24.0","0.3333333333333333","0.5","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","1.0","5.0","5.0","0.08333333333333333","0.4166666666666667","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","6.0","24.0","0.3333333333333333","0.5","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","1.0","5.0","5.0","0.08333333333333333","0.4166666666666667","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","6.0","24.0","0.3333333333333333","0.5","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","1.0","5.0","5.0","0.08333333333333333","0.4166666666666667","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","7.0","28.0","0.3076923076923077","0.5384615384615384","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","7.0","28.0","0.3076923076923077","0.5384615384615384","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","7.0","28.0","0.3076923076923077","0.5384615384615384","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","8.0","32.0","0.2857142857142857","0.5714285714285714","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","8.0","32.0","0.2857142857142857","0.5714285714285714","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","8.0","32.0","0.2857142857142857","0.5714285714285714","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","9.0","36.0","0.26666666666666666","0.6","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","9.0","0.0","0.0","0.6","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","10.0","10.0","0.06666666666666667","0.6666666666666666","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0"
"21","3.0","1.0","3.0","0.1875","0.0625","4.0","10.0","40.0","0.25","0.625","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","10.0","0.0","0.0","0.625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","11.0","11.0","0.0625","0.6875","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625"
