"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3532609","0.6028369","0.15333333333333332","3.68","3.0","0","4.0","0","12.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"1","0.3532609","0.6028369","0.15333333333333332","3.68","3.0","0","4.0","0","12.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"2","0.3532609","0.6028369","0.15333333333333332","3.68","3.0","0","4.0","0","12.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"3","0.3416667","0.6096014","0.15","3.6","3.0","0","3.0","0.05","10.0","0.03260870","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1071429","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"4","0.3416667","0.6096014","0.15","3.6","3.0","0","3.0","0.06666667","10.0","0.04285714","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.15","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"5","0.3416667","0.6096014","0.15","3.6","3.0","0","3.0","0.07142857","10.0","0.04545455","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1666667","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"6","0.3295455","0.6212963","0.14666666666666667","3.52","3.0","0","3.0","0.07142857","8.0","0.06949807","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1714286","2.0","0","1.0","0.06593407","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.06593407","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"7","0.3295455","0.6212963","0.14666666666666667","3.52","3.0","0","3.0","0.06944444","8.0","0.08231707","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1704545","2.0","0","1.0","0.1071429","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1071429","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","22.0","0","1.0","0","10.0","0","1.0","0","23.0","0"
"8","0.3178295","0.6182171","0.15579710144927536","3.5833333333333335","3.0","0","3.0","0.06666667","6.0","0.1111111","6.0","0.01433692","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1666667","2.0","0","1.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.05228758","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.004512126","1.0","0","10.0","0","1.0","0","22.0","0.004314995"
"9","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.06363636","4.0","0.1521739","6.0","0.02352941","3.0","0","2.0","0.03103448","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1615385","2.0","0","1.0","0.15","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.08888889","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.04736842","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.007339450","1.0","0","10.0","0","1.0","0","22.0","0.007017544"
