"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.1302578","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.03463203","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"11","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.125","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.03260870","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"12","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.1198801","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.03076923","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"13","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.1149826","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02910053","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"14","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.1103448","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02758621","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"15","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.1059783","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02620968","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"16","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.1018799","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02495544","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"17","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.09803922","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02380952","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"18","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.09444171","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02275960","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"19","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.09107143","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02179487","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
"20","0.3258065","0.5645161","0.1631578947368421","3.1","2.0","0","5.0","0.08791209","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","1.0","0","6.0","0.02090592","5.0","0","11.0","0","1.0","0","7.0","0","1.0","0","16.0","0","1.0","0","4.0","0"
