"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","5.0","10.0","0.16666666666666666","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","4.0","8.0","0.16666666666666666","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","7.0","0.0","0.0","0.5833333333333334","0.0","0.0","10.0","0.0","0.0","0.8333333333333334","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","6.0","12.0","0.15384615384615385","0.46153846153846156","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","0.0","11.0","0.0","0.0","0.8461538461538461","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","6.0","12.0","0.15384615384615385","0.46153846153846156","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","0.0","11.0","0.0","0.0","0.8461538461538461","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","6.0","12.0","0.15384615384615385","0.46153846153846156","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","0.0","11.0","0.0","0.0","0.8461538461538461","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","6.0","12.0","0.15384615384615385","0.46153846153846156","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","0.0","11.0","0.0","0.0","0.8461538461538461","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","6.0","12.0","0.15384615384615385","0.46153846153846156","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","8.0","0.0","0.0","0.6153846153846154","0.0","0.0","11.0","0.0","0.0","0.8461538461538461","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","7.0","14.0","0.14285714285714285","0.5","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","9.0","0.0","0.0","0.6428571428571429","0.0","0.0","12.0","0.0","0.0","0.8571428571428571","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"18","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","7.0","14.0","0.14285714285714285","0.5","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","9.0","0.0","0.0","0.6428571428571429","0.0","0.0","12.0","0.0","0.0","0.8571428571428571","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"19","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","7.0","14.0","0.14285714285714285","0.5","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","9.0","0.0","0.0","0.6428571428571429","0.0","0.0","12.0","0.0","0.0","0.8571428571428571","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"20","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","7.0","14.0","0.14285714285714285","0.5","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","9.0","0.0","0.0","0.6428571428571429","0.0","0.0","12.0","0.0","0.0","0.8571428571428571","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"21","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","8.0","16.0","0.13333333333333333","0.5333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","4.0","8.0","0.13333333333333333","0.26666666666666666","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","10.0","0.0","0.0","0.6666666666666666","0.0","0.0","13.0","0.0","0.0","0.8666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667"
