"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1319648","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05565863","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"11","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1363636","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05555556","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"12","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1384615","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05475880","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"13","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1389961","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05357143","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"14","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1384615","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05217391","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"15","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1371951","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05067568","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"16","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1354309","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04914371","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"17","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1333333","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04761905","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"18","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1310190","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04612655","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"19","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1285714","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04468085","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
"20","0.2564103","0.4914530","0.23076923076923078","2.769230769230769","3.0","0","4.0","0.1260504","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04329004","3.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","3.0","0"
