"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS"
"11","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"12","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"13","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"14","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"15","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"16","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"17","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"18","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"19","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"20","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
"21","5.0","1.0","5.0","0.5555555555555556","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","6.0","0.0","0.0","0.6666666666666666"
