"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1434059","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01696970","1.0","0","14.0","0.01696970","2.0","0","4.0","0"
"11","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1403509","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01626016","1.0","0","14.0","0.01626016","2.0","0","4.0","0"
"12","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1367521","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01555748","1.0","0","14.0","0.01555748","2.0","0","4.0","0"
"13","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1328904","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01488095","1.0","0","14.0","0.01488095","2.0","0","4.0","0"
"14","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1289377","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01423948","1.0","0","14.0","0.01423948","2.0","0","4.0","0"
"15","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.125","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01363636","1.0","0","14.0","0.01363636","2.0","0","4.0","0"
"16","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1211415","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01307190","1.0","0","14.0","0.01307190","2.0","0","4.0","0"
"17","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1174004","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01254480","1.0","0","14.0","0.01254480","2.0","0","4.0","0"
"18","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1137980","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01205303","1.0","0","14.0","0.01205303","2.0","0","4.0","0"
"19","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1103448","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01159420","1.0","0","14.0","0.01159420","2.0","0","4.0","0"
"20","0.2213542","0.5859375","0.2","3.0","3.0","0","5.0","0.1070445","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","0","0.0","0","14.0","0.01116585","1.0","0","14.0","0.01116585","2.0","0","4.0","0"
