"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1212121","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03325942","0.0","0","4.0","0","1.0","0","2.0","0"
"11","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.125","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03333333","0.0","0","4.0","0","1.0","0","2.0","0"
"12","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1266968","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03296703","0.0","0","4.0","0","1.0","0","2.0","0"
"13","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1269841","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03234501","0.0","0","4.0","0","1.0","0","2.0","0"
"14","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1263158","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03157895","0.0","0","4.0","0","1.0","0","2.0","0"
"15","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.125","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03073770","0.0","0","4.0","0","1.0","0","2.0","0"
"16","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1232493","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02986425","0.0","0","4.0","0","1.0","0","2.0","0"
"17","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1212121","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02898551","0.0","0","4.0","0","1.0","0","2.0","0"
"18","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1189931","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02811824","0.0","0","4.0","0","1.0","0","2.0","0"
"19","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1166667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02727273","0.0","0","4.0","0","1.0","0","2.0","0"
"20","0.2561983","0.5289256","0.2","2.0","3.0","0","1.0","0","3.0","0","3.0","0.1142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02645503","0.0","0","4.0","0","1.0","0","2.0","0"
