"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"11","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","3.0","0.0","0.0","0.3333333333333333","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","3.0","0.0","0.0","0.3333333333333333","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","3.0","0.0","0.0","0.3333333333333333","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","3.0","0.0","0.0","0.3333333333333333","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","3.0","0.0","0.0","0.3333333333333333","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","0.0","0.0","0.1111111111111111","0.0","0.0","3.0","0.0","0.0","0.3333333333333333","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.3","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","0.0","0.0","0.1","0.0","0.0","4.0","0.0","0.0","0.4","5.0","4.0","20.0","0.5","0.4","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.3","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","0.0","0.0","0.1","0.0","0.0","4.0","0.0","0.0","0.4","5.0","4.0","20.0","0.5","0.4","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.3","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","0.0","0.0","0.1","0.0","0.0","4.0","0.0","0.0","0.4","5.0","4.0","20.0","0.5","0.4","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.3","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","0.0","0.0","0.1","0.0","0.0","4.0","0.0","0.0","0.4","5.0","4.0","20.0","0.5","0.4","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"21","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","0.0","0.0","0.09090909090909091","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","5.0","4.0","20.0","0.45454545454545453","0.36363636363636365","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091"
