"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1604278","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02932551","1.0","0","8.0","0","1.0","0","3.0","0"
"11","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02941176","1.0","0","8.0","0","1.0","0","3.0","0"
"12","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1700405","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02910603","1.0","0","8.0","0","1.0","0","3.0","0"
"13","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02857143","1.0","0","8.0","0","1.0","0","3.0","0"
"14","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02790698","1.0","0","8.0","0","1.0","0","3.0","0"
"15","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02717391","1.0","0","8.0","0","1.0","0","3.0","0"
"16","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1687980","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02641056","1.0","0","8.0","0","1.0","0","3.0","0"
"17","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02564103","1.0","0","8.0","0","1.0","0","3.0","0"
"18","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1642105","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02488038","1.0","0","8.0","0","1.0","0","3.0","0"
"19","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02413793","1.0","0","8.0","0","1.0","0","3.0","0"
"20","0.3376623","0.5649351","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","9.0","0.02341920","1.0","0","8.0","0","1.0","0","3.0","0"
