"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"11","4.0","3.0","12.0","0.3333333333333333","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","4.0","3.0","12.0","0.3333333333333333","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","4.0","3.0","12.0","0.3333333333333333","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","4.0","3.0","12.0","0.3333333333333333","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","6.0","0.0","0.0","0.46153846153846156","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","6.0","0.0","0.0","0.42857142857142855","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"19","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","6.0","0.0","0.0","0.42857142857142855","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"20","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","6.0","0.0","0.0","0.42857142857142855","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0"
"21","2.0","4.0","8.0","0.13333333333333333","0.26666666666666666","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","9.0","0.0","0.0","0.6","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","6.0","0.0","0.0","0.4","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667"
