"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"1","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"2","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"3","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"4","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"5","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"6","0.2645503","0.4338624","0.2916666666666667","2.3333333333333335","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","","0.0"
"7","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.05833333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.02651515","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"8","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.09722222","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04093567","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"9","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04883721","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"10","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1414141","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05303030","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"11","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1535088","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05503145","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"12","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05570292","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"13","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05555556","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"14","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1696970","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05490196","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"15","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1711957","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05393836","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"16","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1715686","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05279035","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"17","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1711111","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05153949","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"18","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1700405","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05023923","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"19","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1685185","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04892473","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
"20","0.2909091","0.4363636","0.24444444444444444","2.2","3.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04761905","2.0","0","3.0","0","1.0","0","6.0","0","1.0","0","2.0","0"
