"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1454545","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05454545","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"11","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1458333","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05303030","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"12","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1447964","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05128205","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"13","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1428571","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04945055","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"14","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1403509","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04761905","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"15","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1375","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04583333","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"16","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1344538","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04411765","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"17","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1313131","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04248366","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"18","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1281465","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04093567","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"19","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.125","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03947368","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
"20","0.3558106","0.5164993","0.15073529411764705","2.411764705882353","1.0","0","1.0","0","2.0","0","5.0","0.1219048","1.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03809524","8.0","0","9.0","0","0.0","0","7.0","0","1.0","0","4.0","0"
