"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","1.0","2.0","2.0","0.1","0.2","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","4.0","5.0","20.0","0.4","0.5","0.0","4.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","5.0","20.0","0.36363636363636365","0.45454545454545453","0.0","5.0","0.0","0.0","0.45454545454545453","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","5.0","20.0","0.36363636363636365","0.45454545454545453","0.0","5.0","0.0","0.0","0.45454545454545453","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","5.0","20.0","0.36363636363636365","0.45454545454545453","0.0","5.0","0.0","0.0","0.45454545454545453","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
